,Layer,Neoplasm_of_the_large_intestine nodes,Osteosarcoma nodes,sAB
0,coex_KDN,50,43,-0.18368842210552638
1,coex_BST,37,29,-0.3564348047106667
2,coex_OVR,43,31,-0.28961294377648494
3,coex_LNG,49,38,-0.30646878487410056
4,coex_ITI,49,40,-0.2912290759000231
5,coex_VGN,43,32,0.05718023255813942
6,coex_HRV,24,27,0.1696296296296298
7,coex_MSG,49,40,-0.009132079798211512
8,coex_ADV,36,27,0.16997354497354467
9,coex_EMS,38,30,-0.011971104231165874
10,coex_SMU,38,31,0.043459806599247086
11,coex_ARG,40,32,0.10312499999999991
12,coex_TST,46,39,-0.059384221916191304
13,coex_PIT,43,39,-0.14675845202780735
14,coex_LVR,43,39,-0.14967203339296353
15,coex_THY,41,37,0.2249254124254123
16,coex_PNC,44,34,-0.20576237488002214
17,coex_ATC,38,34,-0.08345126580856732
18,coex_BRO,41,38,-0.010411912850937233
19,coex_SKN,43,39,0.009199063368093396
20,coex_ADS,30,34,0.32205882352941195
21,coex_GEJ,40,36,-0.007173382173382148
22,coex_BRB,25,32,0.3167045454545456
23,coex_UTR,34,27,-0.12756705596628404
24,coex_STM,48,42,-0.08144841269841274
25,coex_HRA,39,34,-0.08027025351763473
26,coex_PRS,42,38,-0.24226190476190457
27,coex_ATA,38,34,0.3581441348469214
28,coex_FIB,41,42,-0.10732763171787552
29,coex_BRC,40,36,0.10460526315789465
30,coex_ATT,39,37,-0.17061494693073653
31,coex_TNV,21,26,-0.13749902579689843
32,coex_SPL,41,36,-0.19732604793580388
33,coex_LCL,28,32,-0.0808169617592367
34,coex_CLS,46,37,-0.05236574972038577
35,coex_EMC,45,33,-0.07397047397047407
36,coex_CLT,47,35,-0.21035458762481318
37,coex_core,46,42,0.005011293054771437
38,coex_WBL,40,39,0.07631856540084381
39,co-essential,22,16,0.41428571428571415
40,GOBP,8,9,0.40357142857142847
41,ppi,50,50,-0.08000000000000007
42,reactome_copathway,33,22,0.02323232323232305
43,MP,13,13,1.125
44,HP,25,19,-0.3011961722488039
45,GI_net,37,29,0.12467169363721098
46,gene_gene_on_CbG_name_mapped,17,15,-0.25379901960784323
47,gene_gene_on_GcG_name_mapped,36,29,-0.004590333038608785
48,GOMF,2,2,
