,Layer,Sinusitis nodes,Otitis_media nodes,sAB
0,coex_KDN,41,35,0.10178571428571437
1,coex_BST,21,25,0.6896456256921373
2,coex_OVR,33,26,0.42519064986737387
3,coex_LNG,43,38,0.403912990918295
4,coex_ITI,39,32,0.13273067894546764
5,coex_VGN,31,28,0.22782746231352036
6,coex_HRV,28,19,0.033249791144528196
7,coex_MSG,40,41,0.12458596808190325
8,coex_ADV,31,30,0.33426028921023354
9,coex_EMS,27,26,0.33495726495726474
10,coex_SMU,32,22,0.13079108391608374
11,coex_ARG,28,19,0.15995440729483268
12,coex_TST,38,33,-0.039642159175146574
13,coex_PIT,33,34,0.059575534759358284
14,coex_LVR,35,27,0.08253968253968247
15,coex_THY,37,23,-0.09571092831962424
16,coex_PNC,34,23,-0.007521506626365859
17,coex_ATC,38,30,0.24050692483528313
18,coex_BRO,36,33,0.22316448062716732
19,coex_SKN,33,29,0.10167189132706378
20,coex_ADS,37,23,0.3367149758454109
21,coex_GEJ,30,35,0.41695873374787995
22,coex_BRB,28,29,0.3816339808532394
23,coex_UTR,23,17,0.6769374416433243
24,coex_STM,37,32,0.2752827555816688
25,coex_HRA,23,22,0.18181818181818188
26,coex_PRS,32,30,-0.0026881720430105283
27,coex_ATA,35,24,0.06372180451127818
28,coex_FIB,20,22,-0.1725900116144019
29,coex_BRC,25,24,-0.10380952380952424
30,coex_ATT,35,27,0.276241679467486
31,coex_TNV,22,16,0.21247009569378017
32,coex_SPL,37,24,0.19602902082410312
33,coex_LCL,21,13,0.024350649350649345
34,coex_CLS,29,31,0.1540600667408234
35,coex_EMC,36,32,0.1584967320261439
36,coex_CLT,35,30,0.21219362745098058
37,coex_core,40,36,0.06544117647058822
38,coex_WBL,37,26,0.07426265900842166
39,co-essential,4,10,-0.17857142857142883
40,GOBP,18,16,0.39285714285714235
41,ppi,49,49,0.12244897959183665
42,reactome_copathway,19,20,0.7914230019493176
43,MP,17,17,0.41176470588235325
44,HP,28,22,0.5091991341991342
45,GI_net,19,21,0.12700501253132845
46,gene_gene_on_CbG_name_mapped,11,8,0.12051435406698552
47,gene_gene_on_GcG_name_mapped,28,29,-0.12156468758102146
48,GOMF,1,8,
