,Layer,Primary_dilated_cardiomyopathy nodes,Uveitis nodes,sAB
0,coex_KDN,31,40,0.24240491092922478
1,coex_BST,21,22,0.21569895254105775
2,coex_OVR,24,23,0.3778820816864292
3,coex_LNG,25,32,0.2361842105263161
4,coex_ITI,27,31,0.14258641288674667
5,coex_VGN,28,23,0.253105590062112
6,coex_HRV,40,24,0.4541666666666666
7,coex_MSG,44,31,0.411617790811339
8,coex_ADV,20,30,0.22446808510638272
9,coex_EMS,34,22,0.40657256560129307
10,coex_SMU,36,17,0.6455173264274265
11,coex_ARG,21,18,0.254861111111111
12,coex_TST,30,28,-0.11711822660098514
13,coex_PIT,26,31,0.21144051194984992
14,coex_LVR,18,33,0.13131313131313127
15,coex_THY,31,23,0.33542985028553796
16,coex_PNC,16,22,0.027272727272727337
17,coex_ATC,38,24,1.0162705149971702
18,coex_BRO,27,31,0.1476743706999546
19,coex_SKN,24,25,0.0036231884057968955
20,coex_ADS,21,26,0.2734949832775917
21,coex_GEJ,24,30,0.7751773049645392
22,coex_BRB,21,25,0.2042236024844719
23,coex_UTR,22,16,0.3310406698564594
24,coex_STM,29,25,0.2664112388250319
25,coex_HRA,43,22,0.5928675249169435
26,coex_PRS,43,19,0.3302728004405475
27,coex_ATA,19,25,0.3805263157894734
28,coex_FIB,17,21,0.29640277163496975
29,coex_BRC,30,25,-0.048550724637681286
30,coex_ATT,29,26,0.3929962187482361
31,coex_TNV,26,25,0.28000000000000025
32,coex_SPL,23,26,0.14475121152139758
33,coex_LCL,24,12,0.2827380952380951
34,coex_CLS,28,24,0.6360023298043649
35,coex_EMC,19,28,0.4461152882205517
36,coex_CLT,24,25,0.3730496453900707
37,coex_core,41,34,1.0088149522799574
38,coex_WBL,34,29,1.01446923597025
39,co-essential,11,6,-0.7923351158645278
40,GOBP,23,16,1.3566933066933062
41,ppi,49,50,0.22331478045763764
42,reactome_copathway,17,26,0.5497737556561086
43,MP,25,20,1.1573205741626795
44,HP,38,24,0.2252051499717036
45,GI_net,17,22,0.07486631016042766
46,gene_gene_on_CbG_name_mapped,11,14,0.28389610389610387
47,gene_gene_on_GcG_name_mapped,27,27,0.0
48,GOMF,2,5,
