,Layer,Erythroderma nodes,Keloid nodes,sAB
0,coex_KDN,25,45,0.28931159420289876
1,coex_BST,19,23,0.2480113326795248
2,coex_OVR,31,30,0.40478582760444226
3,coex_LNG,27,36,1.224685276409414
4,coex_ITI,24,35,0.22823698444895202
5,coex_VGN,41,39,0.24265165728580373
6,coex_HRV,9,31,0.514695340501792
7,coex_MSG,38,38,0.3421052631578947
8,coex_ADV,13,29,0.5588440597515008
9,coex_EMS,24,29,0.27908805031446526
10,coex_SMU,20,29,0.49336734693877515
11,coex_ARG,15,30,0.6122807017543859
12,coex_TST,23,33,0.40484555701947
13,coex_PIT,17,34,-0.014705882352941346
14,coex_LVR,18,39,0.23425551057130023
15,coex_THY,21,30,0.9456582633053221
16,coex_PNC,13,34,0.3301156359979891
17,coex_ATC,20,25,0.06277777777777738
18,coex_BRO,15,28,0.3214285714285716
19,coex_SKN,40,37,0.2548798798798799
20,coex_ADS,35,37,0.7091698841698841
21,coex_GEJ,27,35,0.7328042328042326
22,coex_BRB,9,20,0.6523946360153259
23,coex_UTR,11,30,0.9257575757575758
24,coex_STM,21,36,0.5761904761904761
25,coex_HRA,16,31,0.375378787878788
26,coex_PRS,24,30,0.33472222222222214
27,coex_ATA,17,30,0.3652173913043475
28,coex_FIB,12,25,0.1816134316134317
29,coex_BRC,16,26,0.3162774725274726
30,coex_ATT,22,34,0.7183794466403162
31,coex_TNV,25,27,0.4914027149321267
32,coex_SPL,19,37,0.7731660231660231
33,coex_LCL,10,12,0.1327751196172251
34,coex_CLS,21,31,0.30283080974325216
35,coex_EMC,30,32,0.19270833333333348
36,coex_CLT,21,33,0.27131477591036424
37,coex_core,38,43,0.6884003389511344
38,coex_WBL,20,34,0.6101200686106343
39,co-essential,2,5,-0.07142857142857117
40,GOBP,25,16,2.4277493606138107
41,ppi,47,47,0.26595744680851086
42,reactome_copathway,14,22,1.5785714285714285
43,MP,22,14,1.7185314685314688
44,HP,37,21,0.8282297075400522
45,GI_net,13,12,-0.0017482517482516613
46,gene_gene_on_CbG_name_mapped,3,7,0.3904761904761904
47,gene_gene_on_GcG_name_mapped,22,29,-0.006269592476488839
48,GOMF,9,3,
