,Layer,Mastocytosis nodes,Absence_seizure nodes,sAB
0,coex_KDN,42,30,0.38809523809523827
1,coex_BST,22,20,0.26590909090909065
2,coex_OVR,29,19,0.17623260738052027
3,coex_LNG,33,17,0.646060606060606
4,coex_ITI,33,26,0.04704670329670346
5,coex_VGN,33,20,0.20653230417381363
6,coex_HRV,22,13,0.6965240641711228
7,coex_MSG,33,22,0.24393939393939412
8,coex_ADV,26,17,0.3179522256129643
9,coex_EMS,35,19,1.1615148983570034
10,coex_SMU,20,15,0.2238095238095239
11,coex_ARG,27,25,0.5302865761689293
12,coex_TST,31,30,0.1629120394852812
13,coex_PIT,29,28,0.29800795091176235
14,coex_LVR,27,22,0.202020202020202
15,coex_THY,22,16,0.7165071770334928
16,coex_PNC,23,19,0.4460063201481965
17,coex_ATC,32,17,0.5245364450127876
18,coex_BRO,32,43,0.15773740310077544
19,coex_SKN,33,19,0.6130421865715983
20,coex_ADS,30,16,1.1744318181818185
21,coex_GEJ,33,22,1.025586049170955
22,coex_BRB,25,35,0.36159200968522986
23,coex_UTR,24,16,0.3833333333333333
24,coex_STM,29,28,0.08529945553539031
25,coex_HRA,21,20,0.3999999999999999
26,coex_PRS,26,20,0.4818561872909699
27,coex_ATA,28,18,0.5921717171717176
28,coex_FIB,16,13,-0.12508289124668437
29,coex_BRC,23,31,0.27876473949405245
30,coex_ATT,29,19,1.3205535390199636
31,coex_TNV,24,16,1.6252976190476187
32,coex_SPL,27,22,0.36439222153507833
33,coex_LCL,20,12,0.3921630094043884
34,coex_CLS,29,21,0.286030964109782
35,coex_EMC,28,18,0.2945526695526697
36,coex_CLT,35,21,0.3227554179566563
37,coex_core,36,23,0.7755530129672006
38,coex_WBL,32,17,0.5866409063625451
39,co-essential,8,3,2.6193181818181817
40,GOBP,13,30,0.9856006062902618
41,ppi,48,50,0.4391921768707483
42,reactome_copathway,20,12,1.6518199233716473
43,MP,9,19,2.966819221967963
44,HP,18,16,0.9078839869281046
45,GI_net,22,12,0.22727272727272751
46,gene_gene_on_CbG_name_mapped,14,27,0.6334365724609627
47,gene_gene_on_GcG_name_mapped,26,33,0.1971079767689936
48,GOMF,6,5,
