,Layer,Cholecystitis nodes,Sepsis nodes,sAB
0,coex_KDN,37,39,0.1331290804975016
1,coex_BST,37,19,0.3041556594188175
2,coex_OVR,33,27,0.4085858585858584
3,coex_LNG,37,33,0.3789414414414416
4,coex_ITI,39,34,0.25953837656406
5,coex_VGN,33,19,0.046475279106858114
6,coex_HRV,22,33,0.5106060606060607
7,coex_MSG,40,39,0.039978902953586415
8,coex_ADV,29,34,0.603778292926366
9,coex_EMS,30,24,0.20000000000000018
10,coex_SMU,31,25,0.40911534701857266
11,coex_ARG,28,20,0.13154761904761925
12,coex_TST,36,26,0.09739454094292799
13,coex_PIT,36,32,0.31826923076923075
14,coex_LVR,42,36,0.20863858363858379
15,coex_THY,32,21,0.39831730769230766
16,coex_PNC,36,29,0.13531746031746072
17,coex_ATC,34,28,0.09521766266188214
18,coex_BRO,37,32,0.37880067567567566
19,coex_SKN,36,23,-0.02538314176245171
20,coex_ADS,29,23,0.21099065851689502
21,coex_GEJ,34,30,0.6197659709044907
22,coex_BRB,23,33,0.26276834844609764
23,coex_UTR,26,20,0.36712454212454215
24,coex_STM,34,34,0.10294117647058809
25,coex_HRA,36,31,1.057142857142857
26,coex_PRS,36,26,0.04924408014571968
27,coex_ATA,34,31,0.2593841642228738
28,coex_FIB,29,23,0.08023872679045096
29,coex_BRC,34,25,0.3501894317048855
30,coex_ATT,34,22,0.11011574441097194
31,coex_TNV,23,23,0.3517567703614217
32,coex_SPL,34,32,0.07007006276455985
33,coex_LCL,23,19,-0.012607517379521482
34,coex_CLS,37,28,0.6336318754351544
35,coex_EMC,36,28,0.22759856630824382
36,coex_CLT,36,31,0.2870370370370372
37,coex_core,37,38,0.31081081081081074
38,coex_WBL,33,34,0.38480059595072746
39,co-essential,12,11,1.0687229437229435
40,GOBP,24,8,2.291847041847042
41,ppi,49,49,0.30612244897959195
42,reactome_copathway,16,26,0.21999999999999997
43,MP,17,8,0.3454545454545457
44,HP,23,14,0.5345391975826759
45,GI_net,22,22,0.0
46,gene_gene_on_CbG_name_mapped,14,17,0.1979533748983464
47,gene_gene_on_GcG_name_mapped,31,32,0.140625
48,GOMF,9,3,
