,Layer,Gynecomastia nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,37,44,0.1754124254124254
1,coex_BST,26,33,0.19342380783058744
2,coex_OVR,28,33,-0.0025297619047619513
3,coex_LNG,30,38,0.33993808049535623
4,coex_ITI,31,40,-0.002248977737392188
5,coex_VGN,29,35,-0.04040948275862055
6,coex_HRV,16,29,0.2148148148148148
7,coex_MSG,37,44,0.047976006309339736
8,coex_ADV,25,32,0.6669298245614037
9,coex_EMS,24,34,0.40227486875757146
10,coex_SMU,25,30,0.24134615384615365
11,coex_ARG,25,32,0.19207547169811345
12,coex_TST,36,38,0.24099099099099086
13,coex_PIT,32,29,0.08390156868287169
14,coex_LVR,27,32,0.22438990897677313
15,coex_THY,26,33,0.6187251828631135
16,coex_PNC,28,31,0.027747402952432942
17,coex_ATC,30,38,0.47699055330634277
18,coex_BRO,30,37,0.0535353535353531
19,coex_SKN,29,38,0.33214719421616
20,coex_ADS,21,36,1.0820105820105819
21,coex_GEJ,32,34,0.49364613880742914
22,coex_BRB,18,29,0.05861253770277974
23,coex_UTR,23,30,-0.051785714285714324
24,coex_STM,28,36,0.07539682539682535
25,coex_HRA,28,32,0.23981829573934865
26,coex_PRS,26,33,-0.04773616214294174
27,coex_ATA,27,31,0.39168073306004336
28,coex_FIB,22,29,-0.06399142729191976
29,coex_BRC,26,34,0.128657616892911
30,coex_ATT,24,33,0.173225806451613
31,coex_TNV,15,28,0.9273182957393487
32,coex_SPL,27,32,-0.02909212178279974
33,coex_LCL,23,24,0.23913043478260865
34,coex_CLS,26,32,0.28427147272648123
35,coex_EMC,28,31,-0.016666666666666607
36,coex_CLT,29,33,-0.0026665692577441114
37,coex_core,31,46,0.40552291421856634
38,coex_WBL,26,38,0.12450912450912455
39,co-essential,14,10,0.6066889632107024
40,GOBP,26,16,1.1462121212121215
41,ppi,50,50,0.1399999999999999
42,reactome_copathway,14,27,0.20934065934065949
43,MP,18,9,0.9476495726495728
44,HP,39,24,0.29632173382173366
45,GI_net,19,24,0.20908215661103968
46,gene_gene_on_CbG_name_mapped,12,15,0.03333333333333344
47,gene_gene_on_GcG_name_mapped,30,39,-0.0031772575250836876
48,GOMF,11,4,
