,Layer,Head_and_neck_neoplasm nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,45,46,0.011010245792854478
1,coex_BST,31,37,0.08481204164316103
2,coex_OVR,38,41,-0.08518711103166998
3,coex_LNG,41,43,0.04568106312292364
4,coex_ITI,43,46,0.06677667829268019
5,coex_VGN,42,42,-0.05952380952380931
6,coex_HRV,21,19,0.19567669172932334
7,coex_MSG,44,45,0.13236579275905136
8,coex_ADV,26,38,0.2612601214574899
9,coex_EMS,34,39,-0.00903944296369752
10,coex_SMU,27,38,0.29544909281751375
11,coex_ARG,37,36,0.3655363109588461
12,coex_TST,39,45,0.10036630036630045
13,coex_PIT,36,40,0.17185672514619887
14,coex_LVR,38,41,-0.0024861474464177302
15,coex_THY,37,35,0.15173745173745168
16,coex_PNC,36,40,0.2504385964912279
17,coex_ATC,36,43,0.2689226148528474
18,coex_BRO,39,39,0.2435897435897436
19,coex_SKN,39,44,0.09229575645238297
20,coex_ADS,33,24,0.8102678571428572
21,coex_GEJ,40,38,0.200620782726046
22,coex_BRB,33,14,-0.026839826839827108
23,coex_UTR,27,35,0.08067929680832897
24,coex_STM,44,45,0.009388832141641323
25,coex_HRA,36,36,0.33615023474178396
26,coex_PRS,35,41,0.013799743260590747
27,coex_ATA,31,33,0.5820136852394917
28,coex_FIB,33,39,-0.02742528257402399
29,coex_BRC,35,38,0.18151199917602234
30,coex_ATT,34,36,0.2880443086325437
31,coex_TNV,27,21,0.7893549539891
32,coex_SPL,37,42,0.08394425166577069
33,coex_LCL,27,36,0.019798600443761583
34,coex_CLS,43,42,0.10814279200052113
35,coex_EMC,38,42,0.10743204164256825
36,coex_CLT,43,44,0.3035714285714286
37,coex_core,44,45,0.14937304075235103
38,coex_WBL,36,40,0.019642857142857073
39,co-essential,19,22,0.8162931839402425
40,GOBP,16,12,1.9464285714285712
41,ppi,49,50,0.04975881261595538
42,reactome_copathway,28,31,0.09196366177498283
43,MP,9,15,-1.1271929824561409
44,HP,21,22,0.018649954696466464
45,GI_net,29,37,0.040074557315936676
46,gene_gene_on_CbG_name_mapped,20,8,0.13928571428571423
47,gene_gene_on_GcG_name_mapped,32,43,-0.03737887596899214
48,GOMF,4,3,
