,Layer,Malnutrition nodes,Heartburn nodes,sAB
0,coex_KDN,37,28,-0.1904969485614647
1,coex_BST,26,20,0.2547658862876254
2,coex_OVR,23,17,0.1894857859531771
3,coex_LNG,27,28,0.3468660968660968
4,coex_ITI,31,26,0.3604762526664056
5,coex_VGN,31,23,-0.017453638772011892
6,coex_HRV,18,14,-0.0758928571428572
7,coex_MSG,38,24,0.19216893039049232
8,coex_ADV,26,23,0.4648473635522663
9,coex_EMS,24,15,0.8691176470588236
10,coex_SMU,20,15,-0.1919354838709677
11,coex_ARG,19,16,-0.021854575163398948
12,coex_TST,22,20,0.05238095238095242
13,coex_PIT,25,16,0.030640243902439135
14,coex_LVR,34,27,-0.08933385030094887
15,coex_THY,29,22,0.46069538926681775
16,coex_PNC,26,17,0.1923076923076925
17,coex_ATC,27,18,0.35925925925925917
18,coex_BRO,24,17,0.08231707317073189
19,coex_SKN,34,22,-0.12413419913419954
20,coex_ADS,29,19,0.93776971163541
21,coex_GEJ,34,23,0.5617495711835332
22,coex_BRB,21,15,0.1316526610644262
23,coex_UTR,17,10,-0.1299648064353942
24,coex_STM,28,25,0.08541778975741221
25,coex_HRA,22,18,-0.442139355742297
26,coex_PRS,25,20,0.17628205128205154
27,coex_ATA,22,16,0.2877976190476188
28,coex_FIB,13,12,0.27153846153846173
29,coex_BRC,19,21,-0.0244939271255058
30,coex_ATT,25,17,0.19806357325538881
31,coex_TNV,21,7,1.1620370370370372
32,coex_SPL,33,21,0.1354016354016354
33,coex_LCL,9,11,0.12121212121212155
34,coex_CLS,33,21,0.47799981236513744
35,coex_EMC,27,21,0.15555555555555545
36,coex_CLT,28,16,0.0717592592592593
37,coex_core,35,32,0.30000000000000004
38,coex_WBL,26,23,-0.158804347826087
39,co-essential,11,6,-0.04144385026738018
40,GOBP,19,25,0.1625000000000001
41,ppi,50,49,0.06972170686456391
42,reactome_copathway,23,13,0.27609427609427595
43,MP,13,21,-1.006773399014778
44,HP,33,16,0.13591914038342612
45,GI_net,17,14,-0.14543236649498503
46,gene_gene_on_CbG_name_mapped,13,20,0.19201631701631716
47,gene_gene_on_GcG_name_mapped,29,36,-0.06195107574417924
48,GOMF,4,8,1.0
