,Layer,Fatigue nodes,Rhinitis nodes,sAB
0,coex_KDN,43,31,0.12004353828183056
1,coex_BST,27,13,0.17948717948717974
2,coex_OVR,30,19,0.11111111111111116
3,coex_LNG,36,31,0.6109062980030724
4,coex_ITI,34,20,-0.006294176061685919
5,coex_VGN,35,23,0.2726143421795595
6,coex_HRV,21,14,-0.0692640692640687
7,coex_MSG,35,30,0.37234432234432235
8,coex_ADV,33,19,0.5854266347687398
9,coex_EMS,33,26,0.1641578760222826
10,coex_SMU,31,14,0.2431387608806963
11,coex_ARG,33,14,0.071336464953486
12,coex_TST,31,28,0.11533429664922301
13,coex_PIT,31,25,0.24426267281105996
14,coex_LVR,43,20,0.056050453291289104
15,coex_THY,35,16,0.04308823529411754
16,coex_PNC,30,22,0.22636363636363654
17,coex_ATC,33,22,0.21037296037296027
18,coex_BRO,33,30,0.524747474747475
19,coex_SKN,36,24,0.12037037037037024
20,coex_ADS,29,21,0.7866995073891623
21,coex_GEJ,31,28,0.641226849839144
22,coex_BRB,22,23,0.7644084934277047
23,coex_UTR,25,20,0.8073414304993252
24,coex_STM,32,25,0.34123903508771924
25,coex_HRA,34,17,0.03987845138055213
26,coex_PRS,30,23,0.20985780694558365
27,coex_ATA,31,18,0.2867955464043317
28,coex_FIB,29,15,0.21081504702194365
29,coex_BRC,33,16,0.3341191166989037
30,coex_ATT,34,19,0.4311145510835912
31,coex_TNV,20,15,0.6324575807334427
32,coex_SPL,38,17,0.15543202927103872
33,coex_LCL,22,9,0.13636363636363624
34,coex_CLS,36,20,0.04629629629629628
35,coex_EMC,34,22,0.09774212715389163
36,coex_CLT,34,20,-0.06946959518663487
37,coex_core,40,28,0.27591093117408905
38,coex_WBL,36,17,0.522428782833888
39,co-essential,9,3,0.22222222222222232
40,GOBP,20,15,0.6073762838468721
41,ppi,49,48,0.20390192159337972
42,reactome_copathway,26,14,0.2016483516483516
43,MP,13,15,0.931978021978022
44,HP,31,19,0.443667232597623
45,GI_net,30,20,0.24642857142857144
46,gene_gene_on_CbG_name_mapped,20,13,-0.13292540792540786
47,gene_gene_on_GcG_name_mapped,28,25,0.019353099730458068
48,GOMF,4,7,
