,Layer,Infection_of_bone nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,30,41,-0.27776823542883333
1,coex_BST,19,17,1.0190712074303405
2,coex_OVR,18,20,0.27514619883040936
3,coex_LNG,20,30,0.17669691470054438
4,coex_ITI,20,36,0.14030950016550814
5,coex_VGN,16,29,0.22612547892720336
6,coex_HRV,17,20,0.5412796697626416
7,coex_MSG,24,28,0.28773809523809524
8,coex_ADV,34,24,0.7447250639386189
9,coex_EMS,27,22,1.0111903347197466
10,coex_SMU,12,22,0.38636363636363624
11,coex_ARG,11,18,0.5559909439219783
12,coex_TST,14,28,0.3321428571428573
13,coex_PIT,19,26,0.04771207984182291
14,coex_LVR,27,32,-0.057988072818581315
15,coex_THY,9,30,0.1726900972590628
16,coex_PNC,30,22,0.7968221771467208
17,coex_ATC,16,24,0.1708333333333334
18,coex_BRO,13,24,0.02689708939708968
19,coex_SKN,15,28,0.1737804878048781
20,coex_ADS,24,22,1.7784914361001314
21,coex_GEJ,20,23,0.5329413016869773
22,coex_BRB,11,17,0.29564270152505445
23,coex_UTR,6,20,0.8967391304347827
24,coex_STM,22,30,0.34437229437229444
25,coex_HRA,18,27,0.597202380952381
26,coex_PRS,12,26,0.5442307692307691
27,coex_ATA,28,24,0.22685185185185164
28,coex_FIB,6,21,0.3690476190476193
29,coex_BRC,8,22,-0.10844155844155834
30,coex_ATT,26,28,0.2784385382059802
31,coex_TNV,31,19,1.0178268251273348
32,coex_SPL,25,35,0.20256157635467997
33,coex_LCL,7,20,0.04587301587301562
34,coex_CLS,17,29,0.45974071787635573
35,coex_EMC,15,30,0.5422764227642274
36,coex_CLT,16,32,0.41349321705426334
37,coex_core,41,37,0.10000000000000009
38,coex_WBL,24,33,0.23893540669856472
39,co-essential,7,2,-0.7460317460317469
40,GOBP,23,18,0.9871323529411766
41,ppi,47,50,0.1847839438473351
42,reactome_copathway,16,19,0.22982456140350882
43,MP,13,22,-0.35606060606060597
44,HP,12,27,0.40420227920227925
45,GI_net,15,25,0.3244444444444441
46,gene_gene_on_CbG_name_mapped,14,12,-0.3456959706959708
47,gene_gene_on_GcG_name_mapped,29,33,0.029730003033674013
48,GOMF,6,8,
