,Layer,Pulmonary_arterial_hypertension nodes,Ischemic_stroke nodes,sAB
0,coex_KDN,44,46,0.11865393061045237
1,coex_BST,27,28,0.16559644059644052
2,coex_OVR,35,35,0.2142857142857144
3,coex_LNG,37,44,0.5268829435496105
4,coex_ITI,40,45,0.059967320261437695
5,coex_VGN,38,37,0.01534850640113783
6,coex_HRV,26,33,0.5761230295128601
7,coex_MSG,36,45,0.031481481481481444
8,coex_ADV,24,33,0.4172888303323088
9,coex_EMS,33,33,0.2878787878787876
10,coex_SMU,31,36,0.20479797979797976
11,coex_ARG,34,33,0.5362246593552675
12,coex_TST,42,43,0.07079343365253066
13,coex_PIT,38,40,0.014254385964912242
14,coex_LVR,38,44,0.23825708950869418
15,coex_THY,37,36,0.5000000000000004
16,coex_PNC,34,41,0.25129124820659987
17,coex_ATC,33,36,0.15841248303934874
18,coex_BRO,37,42,0.07283368359317688
19,coex_SKN,36,42,0.1483516483516485
20,coex_ADS,31,38,0.7280701754385963
21,coex_GEJ,28,32,0.30893640350877183
22,coex_BRB,31,32,0.11664903930900783
23,coex_UTR,23,34,0.49589027530203955
24,coex_STM,39,44,0.15880304434521286
25,coex_HRA,31,31,0.314956812973735
26,coex_PRS,28,37,0.030115830115830633
27,coex_ATA,38,39,0.23321187584345449
28,coex_FIB,21,36,0.41547619047619033
29,coex_BRC,39,33,0.1723555046386771
30,coex_ATT,33,43,0.05670995670995671
31,coex_TNV,20,35,0.4476381461675576
32,coex_SPL,36,42,0.12957875457875456
33,coex_LCL,22,13,0.08083717357910913
34,coex_CLS,33,37,0.07758277758277754
35,coex_EMC,35,42,0.052256037550155066
36,coex_CLT,37,43,0.09164833438089248
37,coex_core,42,46,0.3434735554300772
38,coex_WBL,35,31,0.3864823348694313
39,co-essential,9,4,-0.13888888888888928
40,GOBP,13,16,0.1698717948717947
41,ppi,49,50,0.17177283034425894
42,reactome_copathway,16,27,0.71025641025641
43,MP,7,13,0.4251253132832078
44,HP,36,28,0.3283730158730158
45,GI_net,23,20,-0.21136363636363686
46,gene_gene_on_CbG_name_mapped,8,11,0.0008971291866026743
47,gene_gene_on_GcG_name_mapped,32,31,-0.1904521889400923
48,GOMF,6,3,
