,Layer,Bladder_neoplasm nodes,Osteosarcoma nodes,sAB
0,coex_KDN,43,43,-0.5303758712787439
1,coex_BST,32,29,-0.6739860090446577
2,coex_OVR,32,31,-0.27419354838709653
3,coex_LNG,41,38,-0.34292734292734295
4,coex_ITI,43,40,-0.5684925749509664
5,coex_VGN,35,32,-0.2947094882729211
6,coex_HRV,35,27,-0.2575449123182971
7,coex_MSG,42,40,-0.40107433217189303
8,coex_ADV,29,27,-0.20003192848020435
9,coex_EMS,35,30,-0.27124542124542117
10,coex_SMU,31,31,-0.5483870967741935
11,coex_ARG,29,32,-0.2238111221028829
12,coex_TST,40,39,-0.37999026290165516
13,coex_PIT,38,39,-0.3757249151985993
14,coex_LVR,41,39,-0.3266572858036272
15,coex_THY,34,37,-0.3946684878747846
16,coex_PNC,34,34,-0.5882352941176472
17,coex_ATC,33,34,-0.4078959235209234
18,coex_BRO,35,38,-0.43822393822393835
19,coex_SKN,33,39,-0.3453356356085229
20,coex_ADS,33,34,-0.6869529358554822
21,coex_GEJ,38,36,-0.3363685113685113
22,coex_BRB,29,32,-0.6054495073891626
23,coex_UTR,26,27,-0.2062301779282909
24,coex_STM,41,42,-0.3367197011040677
25,coex_HRA,33,34,-0.056706773618538264
26,coex_PRS,37,38,-0.5738615327656422
27,coex_ATA,30,34,-0.23498019897614197
28,coex_FIB,31,42,-0.4095042031223193
29,coex_BRC,35,36,-0.25326961770623746
30,coex_ATT,27,37,-0.304322890529787
31,coex_TNV,26,26,-0.5769230769230766
32,coex_SPL,30,36,-0.44318181818181834
33,coex_LCL,25,32,-0.4900502723083371
34,coex_CLS,35,37,-0.41805311805311796
35,coex_EMC,35,33,-0.2693018862904728
36,coex_CLT,34,35,-0.39559460147695424
37,coex_core,44,42,-0.13066294170945336
38,coex_WBL,38,39,-0.38972431077694236
39,co-essential,10,16,-1.37
40,GOBP,8,9,0.8749999999999991
41,ppi,50,50,-0.21999999999999997
42,reactome_copathway,29,22,-0.03341946597760548
43,MP,10,13,0.15909090909090917
44,HP,23,19,-0.24997275798191132
45,GI_net,28,29,-0.24010217113665377
46,gene_gene_on_CbG_name_mapped,16,15,-0.22936827956989236
47,gene_gene_on_GcG_name_mapped,28,29,-0.2276704692766398
48,GOMF,6,2,
