,Layer,Neoplasm_of_lung nodes,Nephroblastoma nodes,sAB
0,coex_KDN,45,45,-0.16666666666666674
1,coex_BST,35,37,0.02780572322825825
2,coex_OVR,42,39,-0.07437932437932426
3,coex_LNG,40,41,-0.18535832580548006
4,coex_ITI,43,44,-0.2768796627056451
5,coex_VGN,35,46,-0.24929667519181598
6,coex_HRV,20,16,0.294485294117647
7,coex_MSG,41,45,0.009636352177475382
8,coex_ADV,33,34,-0.10647963391598148
9,coex_EMS,36,37,-0.1166884105240269
10,coex_SMU,33,38,-0.021766965428937413
11,coex_ARG,39,34,-0.13636005492897496
12,coex_TST,43,46,-0.14723475079810489
13,coex_PIT,36,40,-0.160897435897436
14,coex_LVR,38,38,-0.14473684210526327
15,coex_THY,32,33,0.10590763403263415
16,coex_PNC,35,39,-0.13971883971884003
17,coex_ATC,41,42,-0.22973932120273588
18,coex_BRO,33,36,0.2671250318309144
19,coex_SKN,36,41,-0.0638352162742406
20,coex_ADS,30,23,0.2945439045183291
21,coex_GEJ,38,40,0.04650809716599191
22,coex_BRB,19,13,-0.11228070175438609
23,coex_UTR,36,35,-0.20905432595573448
24,coex_STM,40,43,-0.15967357803306248
25,coex_HRA,37,37,0.09459459459459452
26,coex_PRS,36,39,-0.09568376068376061
27,coex_ATA,32,33,0.26392961876832866
28,coex_FIB,37,36,-0.16666666666666674
29,coex_BRC,36,34,-0.12889822595704947
30,coex_ATT,35,37,-0.16974789915966415
31,coex_TNV,21,19,0.01635338345864623
32,coex_SPL,39,42,-0.27531328320801984
33,coex_LCL,29,30,-0.02142022209234362
34,coex_CLS,38,37,-0.1321683976694792
35,coex_EMC,38,42,-0.22612781954887207
36,coex_CLT,42,44,-0.049770965468640016
37,coex_core,38,42,-0.0223370927318296
38,coex_WBL,36,33,-0.07125603864734309
39,co-essential,25,24,0.5374468085106385
40,GOBP,13,9,-1.069230769230769
41,ppi,49,48,-0.07316212567501235
42,reactome_copathway,28,13,-0.1314102564102564
43,MP,12,12,0.3555555555555556
44,HP,28,27,-0.07312409812409837
45,GI_net,31,28,-0.14236195327027223
46,gene_gene_on_CbG_name_mapped,19,2,0.5989974937343359
47,gene_gene_on_GcG_name_mapped,37,33,-0.12129402129402145
48,GOMF,4,3,
