,Layer,Adrenal_insufficiency nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,36,34,0.06258234519104078
1,coex_BST,27,21,0.4045787545787545
2,coex_OVR,32,25,0.5121863799283157
3,coex_LNG,24,32,1.0353494623655917
4,coex_ITI,32,32,0.78125
5,coex_VGN,28,27,0.2886604136604136
6,coex_HRV,10,29,0.6399014778325127
7,coex_MSG,34,33,0.17850586638997545
8,coex_ADV,28,23,0.8503379612714652
9,coex_EMS,25,17,0.36588354854136806
10,coex_SMU,25,20,0.8771428571428572
11,coex_ARG,27,22,0.016152287428883305
12,coex_TST,34,30,0.16966911764705883
13,coex_PIT,34,34,0.33823529411764697
14,coex_LVR,32,26,0.26098901098901095
15,coex_THY,27,21,0.5457142857142858
16,coex_PNC,26,25,0.49969834087481146
17,coex_ATC,34,26,0.43484162895927625
18,coex_BRO,26,34,0.439811202995787
19,coex_SKN,31,24,0.2615224828934508
20,coex_ADS,26,26,0.3761538461538456
21,coex_GEJ,33,22,0.7380952380952381
22,coex_BRB,17,29,0.731854660904842
23,coex_UTR,25,14,0.8234126984126986
24,coex_STM,26,25,0.7444947209653092
25,coex_HRA,29,24,0.6530612244897958
26,coex_PRS,29,20,0.4723033220231989
27,coex_ATA,29,25,0.5000265251989391
28,coex_FIB,20,20,0.25
29,coex_BRC,24,31,0.6734631771150332
30,coex_ATT,25,21,0.31499999999999995
31,coex_TNV,21,21,0.5514227642276421
32,coex_SPL,32,23,0.45722579051383394
33,coex_LCL,22,15,0.0015970515970513688
34,coex_CLS,32,23,1.2457948320699384
35,coex_EMC,26,24,0.35152890587673236
36,coex_CLT,30,25,0.6133333333333333
37,coex_core,34,33,0.7348142054024407
38,coex_WBL,26,26,0.5384615384615383
39,co-essential,13,10,0.5994983277591972
40,GOBP,19,4,0.9464285714285712
41,ppi,45,50,0.2540350877192983
42,reactome_copathway,16,26,0.8567567567567567
43,MP,8,9,1.126225490196079
44,HP,30,16,0.35027173913043486
45,GI_net,24,19,0.18961648306813572
46,gene_gene_on_CbG_name_mapped,9,17,-0.133232780291604
47,gene_gene_on_GcG_name_mapped,26,33,-0.05809103177524233
48,GOMF,6,3,
