,Layer,Back_pain nodes,Myalgia nodes,sAB
0,coex_KDN,45,39,-0.1244768547875712
1,coex_BST,35,20,0.1866883116883118
2,coex_OVR,38,29,-0.0448506108296991
3,coex_LNG,37,37,0.18128898128898108
4,coex_ITI,43,33,-0.2901792635658915
5,coex_VGN,44,33,-0.018398268398268414
6,coex_HRV,24,30,0.474645390070922
7,coex_MSG,40,37,0.14023780273780284
8,coex_ADV,37,31,0.3585440278988665
9,coex_EMS,37,27,0.028764420157862958
10,coex_SMU,38,27,0.13763682711051128
11,coex_ARG,38,29,0.025570875206544663
12,coex_TST,45,34,-0.2002937039794821
13,coex_PIT,42,31,-0.12307198619615756
14,coex_LVR,36,30,0.0941756272401435
15,coex_THY,37,26,-0.16689766689766738
16,coex_PNC,41,28,0.1605186082916732
17,coex_ATC,40,33,0.0325238688252385
18,coex_BRO,40,26,-0.10841346153846154
19,coex_SKN,43,30,0.11534989911861526
20,coex_ADS,35,27,0.27222222222222214
21,coex_GEJ,37,31,0.1546643417611162
22,coex_BRB,31,20,0.44042553191489375
23,coex_UTR,37,24,0.14027777777777772
24,coex_STM,42,32,-0.14207287644787647
25,coex_HRA,41,28,-0.030033328283593397
26,coex_PRS,39,31,-0.04947418173224638
27,coex_ATA,31,27,0.3629629629629627
28,coex_FIB,33,22,0.010627104377104457
29,coex_BRC,38,23,-0.004201523052106637
30,coex_ATT,39,31,-0.019579345385797087
31,coex_TNV,21,19,0.7522522522522519
32,coex_SPL,39,35,0.5977031977031977
33,coex_LCL,27,17,-0.0044421145568920295
34,coex_CLS,39,31,0.0153262297474821
35,coex_EMC,40,31,0.022148200093501602
36,coex_CLT,42,32,-0.03526785714285707
37,coex_core,42,40,0.09664786967418548
38,coex_WBL,33,31,0.2099567099567099
39,co-essential,14,4,0.8392857142857144
40,GOBP,18,27,0.9855769230769234
41,ppi,50,48,0.15143707482993185
42,reactome_copathway,13,20,1.1644736842105263
43,MP,15,8,1.6678571428571427
44,HP,28,41,0.3539315617036767
45,GI_net,21,17,0.05718954248366015
46,gene_gene_on_CbG_name_mapped,5,10,0.1499999999999999
47,gene_gene_on_GcG_name_mapped,35,35,0.0
48,GOMF,7,8,
