,Layer,Keloid nodes,Conjunctivitis nodes,sAB
0,coex_KDN,45,39,0.08992673992673983
1,coex_BST,23,30,-0.021629751162154598
2,coex_OVR,30,37,0.24043659043659016
3,coex_LNG,36,39,0.55999405999406
4,coex_ITI,35,39,0.08752246947250986
5,coex_VGN,39,35,0.3337792642140467
6,coex_HRV,31,24,0.06818066544938128
7,coex_MSG,38,41,0.27960221640857297
8,coex_ADV,29,30,0.39632400780741683
9,coex_EMS,29,34,-0.08823529411764675
10,coex_SMU,29,28,0.3035714285714286
11,coex_ARG,30,33,0.1617360041088851
12,coex_TST,33,33,0.015151515151515138
13,coex_PIT,34,35,-0.21796979661429794
14,coex_LVR,39,35,0.21781011781011772
15,coex_THY,30,35,0.7948717948717947
16,coex_PNC,34,33,0.33508844097079393
17,coex_ATC,25,35,0.2909523809523811
18,coex_BRO,28,33,0.27913207011567653
19,coex_SKN,37,35,0.20829882677708755
20,coex_ADS,37,33,0.5226980226980227
21,coex_GEJ,35,36,0.16344030365769502
22,coex_BRB,20,23,0.21989383215369074
23,coex_UTR,30,26,0.7214177978883862
24,coex_STM,36,32,0.3529317697228145
25,coex_HRA,31,30,-0.014367816091953589
26,coex_PRS,30,35,0.27875457875457865
27,coex_ATA,30,35,0.43571428571428594
28,coex_FIB,25,28,0.2069597069597071
29,coex_BRC,26,26,0.019230769230769162
30,coex_ATT,34,35,0.3957219251336901
31,coex_TNV,27,24,0.08762820512820513
32,coex_SPL,37,37,0.1351351351351351
33,coex_LCL,12,27,0.3720538720538724
34,coex_CLS,31,34,0.13949881027679867
35,coex_EMC,32,36,-0.014808006535947715
36,coex_CLT,33,37,0.3063666344916345
37,coex_core,43,40,0.3729651162790697
38,coex_WBL,34,37,0.37724071702944917
39,co-essential,5,8,0.3894230769230771
40,GOBP,16,20,1.6583333333333332
41,ppi,47,49,0.1964150021710811
42,reactome_copathway,22,25,0.7416666666666667
43,MP,14,20,0.10641025641025648
44,HP,21,33,0.5464165464165465
45,GI_net,12,24,-0.08775252525252553
46,gene_gene_on_CbG_name_mapped,7,14,0.27380952380952395
47,gene_gene_on_GcG_name_mapped,29,34,0.0171367397533726
48,GOMF,3,4,
