,Layer,Primary_dilated_cardiomyopathy nodes,Thrombophlebitis nodes,sAB
0,coex_KDN,31,46,0.04974158965590103
1,coex_BST,21,38,0.1435406698564592
2,coex_OVR,24,38,0.07827532541029969
3,coex_LNG,25,43,0.13125854993160058
4,coex_ITI,27,42,0.18438003220611932
5,coex_VGN,28,41,0.10408087847112246
6,coex_HRV,40,21,1.4874999999999998
7,coex_MSG,44,43,0.21913501494495868
8,coex_ADV,20,34,0.12538126361655744
9,coex_EMS,34,39,0.4265460030165915
10,coex_SMU,36,39,0.3300854700854703
11,coex_ARG,21,38,0.27345735027223217
12,coex_TST,30,45,-0.014444444444444704
13,coex_PIT,26,42,-0.062163326869209445
14,coex_LVR,18,43,0.10028805015461506
15,coex_THY,31,38,0.9071558825378863
16,coex_PNC,16,43,0.15172413793103479
17,coex_ATC,38,40,0.9722672064777327
18,coex_BRO,27,41,0.45516860143725824
19,coex_SKN,24,45,0.2609903381642513
20,coex_ADS,21,33,0.3783333333333334
21,coex_GEJ,24,38,0.4161230195712955
22,coex_BRB,21,18,0.14098972922502329
23,coex_UTR,22,38,0.2602073365231261
24,coex_STM,29,43,0.16223380557783118
25,coex_HRA,43,41,0.6283458930934827
26,coex_PRS,43,40,0.352360605211544
27,coex_ATA,19,35,0.2174046226677806
28,coex_FIB,17,40,0.3359391124871003
29,coex_BRC,30,39,0.1486378205128207
30,coex_ATT,29,41,0.5531039739276702
31,coex_TNV,26,17,0.7534562211981566
32,coex_SPL,23,45,0.17955385052571748
33,coex_LCL,24,31,0.49681137039579015
34,coex_CLS,28,46,0.2800274699251679
35,coex_EMC,19,40,0.2611842105263158
36,coex_CLT,24,44,0.20343137254901955
37,coex_core,41,43,0.9143505388542257
38,coex_WBL,34,39,1.381975867269985
39,co-essential,11,12,0.43560606060606055
40,GOBP,23,22,0.8491364219862296
41,ppi,49,49,0.34693877551020424
42,reactome_copathway,17,20,0.9668067226890757
43,MP,25,14,1.2299099099099098
44,HP,38,14,0.8792654713707346
45,GI_net,17,24,0.007672634271099543
46,gene_gene_on_CbG_name_mapped,11,13,0.5361305361305362
47,gene_gene_on_GcG_name_mapped,27,37,0.12686123623623624
48,GOMF,2,4,
