,Layer,Ulcerative_colitis nodes,Erysipelas nodes,sAB
0,coex_KDN,39,46,0.1642966110929498
1,coex_BST,15,22,0.24841269841269842
2,coex_OVR,26,34,0.15331567796610157
3,coex_LNG,37,37,0.4414414414414418
4,coex_ITI,38,42,-0.03118652605580019
5,coex_VGN,28,39,-0.009341535657325206
6,coex_HRV,23,31,0.1964832995688537
7,coex_MSG,39,41,0.05159474671669795
8,coex_ADV,30,33,0.0927223050173871
9,coex_EMS,22,27,0.27676767676767655
10,coex_SMU,22,28,0.09902597402597402
11,coex_ARG,21,30,0.08903119868637122
12,coex_TST,27,43,-0.002337886058816352
13,coex_PIT,34,37,0.044184630373888645
14,coex_LVR,38,41,0.16182707463317159
15,coex_THY,26,36,0.2636821064240422
16,coex_PNC,29,30,-0.07738095238095233
17,coex_ATC,32,37,0.16599955934195076
18,coex_BRO,33,42,-0.07445887445887434
19,coex_SKN,25,35,0.007233656174334024
20,coex_ADS,27,34,0.23985451054244677
21,coex_GEJ,30,36,0.4441466241669083
22,coex_BRB,26,31,-0.15025466893039052
23,coex_UTR,18,29,0.3875086266390615
24,coex_STM,36,37,0.19051071619564763
25,coex_HRA,27,31,0.12742553454455585
26,coex_PRS,30,34,0.2656702025072324
27,coex_ATA,32,37,0.05714478065021544
28,coex_FIB,21,21,0.2619047619047621
29,coex_BRC,24,31,-0.17099217986314752
30,coex_ATT,23,39,0.16068580542264765
31,coex_TNV,20,37,0.340873015873016
32,coex_SPL,33,32,0.3668924825174824
33,coex_LCL,24,21,0.12113661532266162
34,coex_CLS,25,40,0.2360096153846154
35,coex_EMC,28,34,-0.1146313364055298
36,coex_CLT,31,40,0.28166445623342184
37,coex_core,39,43,0.1865337347470073
38,coex_WBL,35,36,-0.07057344064386317
39,co-essential,7,6,0.4285714285714288
40,GOBP,16,21,0.8773504273504269
41,ppi,49,49,0.061224489795918435
42,reactome_copathway,18,24,0.45359848484848464
43,MP,14,15,0.8424242424242427
44,HP,18,19,0.40931721194879067
45,GI_net,24,21,0.018210050818746826
46,gene_gene_on_CbG_name_mapped,10,14,0.0011904761904761862
47,gene_gene_on_GcG_name_mapped,27,30,-0.15857699805068237
48,GOMF,6,8,
