,Layer,Disorder_of_orbital_region nodes,Optic_neuritis nodes,sAB
0,coex_KDN,27,38,0.03126405757984707
1,coex_BST,25,23,0.26485507246376816
2,coex_OVR,23,24,0.0819264569842737
3,coex_LNG,24,34,0.4556419457735248
4,coex_ITI,27,33,0.25942760942760934
5,coex_VGN,24,29,0.2632698980698329
6,coex_HRV,10,14,0.19547964113181537
7,coex_MSG,26,34,0.2655354449472096
8,coex_ADV,20,27,0.3522458628841605
9,coex_EMS,15,25,0.06833333333333336
10,coex_SMU,19,28,0.07128859382498831
11,coex_ARG,20,29,0.47049612948627706
12,coex_TST,28,32,0.09285714285714275
13,coex_PIT,28,32,0.2616071428571427
14,coex_LVR,18,33,0.24720210664911102
15,coex_THY,21,28,0.21461640211640187
16,coex_PNC,20,30,0.3839021815622803
17,coex_ATC,21,30,-0.03081232492997188
18,coex_BRO,28,32,0.31604064039408875
19,coex_SKN,22,27,0.13243006993007
20,coex_ADS,19,23,0.5843552582683018
21,coex_GEJ,16,27,0.1693121693121693
22,coex_BRB,20,22,0.16692406692406703
23,coex_UTR,18,22,0.3070818070818069
24,coex_STM,19,30,0.12309344790547794
25,coex_HRA,16,28,0.057629870129869865
26,coex_PRS,23,26,0.09916032163950783
27,coex_ATA,18,27,0.5665374677002588
28,coex_FIB,16,25,-0.06253048780487802
29,coex_BRC,26,30,0.22289377289377255
30,coex_ATT,21,26,0.4693995859213249
31,coex_TNV,15,15,0.20000000000000018
32,coex_SPL,20,31,0.2916666666666665
33,coex_LCL,15,26,-0.03594594594594591
34,coex_CLS,24,28,0.17353479853479858
35,coex_EMC,21,33,0.08160377358490578
36,coex_CLT,29,33,0.057784743991640575
37,coex_core,22,38,0.43173843700159487
38,coex_WBL,18,35,0.43685235100329445
39,co-essential,3,13,0.43406593406593386
40,GOBP,28,21,1.8796296296296298
41,ppi,50,50,0.31000000000000005
42,reactome_copathway,10,22,1.875
43,MP,27,11,0.6926856926856924
44,HP,34,17,1.4558823529411764
45,GI_net,17,19,0.352360681114551
46,gene_gene_on_CbG_name_mapped,11,7,0.6139971139971139
47,gene_gene_on_GcG_name_mapped,37,36,-0.13955736558476284
48,GOMF,6,10,2.0
