,Layer,Menorrhagia nodes,Premature_ovarian_failure nodes,sAB
0,coex_KDN,36,29,-0.18936044798113771
1,coex_BST,26,20,0.25309364548494995
2,coex_OVR,24,23,0.402096823928461
3,coex_LNG,27,24,0.5595043572984748
4,coex_ITI,32,29,-0.06602423685698122
5,coex_VGN,31,28,-0.04619411431805309
6,coex_HRV,21,8,0.3315886699507393
7,coex_MSG,34,26,-0.16493212669683266
8,coex_ADV,19,21,0.4563283208020048
9,coex_EMS,21,22,0.09523809523809534
10,coex_SMU,22,20,0.2272727272727273
11,coex_ARG,19,21,-0.1315789473684208
12,coex_TST,31,35,0.1161569613182516
13,coex_PIT,32,26,-0.027472527472527375
14,coex_LVR,32,20,0.2411057692307692
15,coex_THY,22,20,0.24209956709956693
16,coex_PNC,27,20,0.14376968061178586
17,coex_ATC,25,21,0.1356521739130434
18,coex_BRO,28,19,0.1447577276524643
19,coex_SKN,29,24,0.1692013662979832
20,coex_ADS,20,14,0.39537815126050413
21,coex_GEJ,23,25,0.5837154150197628
22,coex_BRB,23,11,0.06033480585910267
23,coex_UTR,19,24,0.38137494900040814
24,coex_STM,30,25,0.1824242424242426
25,coex_HRA,25,23,0.12486509404872059
26,coex_PRS,27,21,0.3445767195767193
27,coex_ATA,23,17,0.3360613810741686
28,coex_FIB,20,20,0.16977058029689607
29,coex_BRC,28,22,0.029491341991341624
30,coex_ATT,30,21,0.4751773049645389
31,coex_TNV,18,13,0.3485576923076925
32,coex_SPL,29,22,0.41993207941483823
33,coex_LCL,19,18,0.03133396554449197
34,coex_CLS,23,23,-0.06521739130434767
35,coex_EMC,29,27,0.014687100893997496
36,coex_CLT,28,25,-0.09308625336927223
37,coex_core,29,24,0.07856648598777549
38,coex_WBL,35,17,0.6992889463477696
39,co-essential,8,11,1.582575757575757
40,GOBP,30,21,1.2374521072796938
41,ppi,50,48,0.3639880952380954
42,reactome_copathway,25,9,0.576111111111111
43,MP,22,21,0.8321428571428573
44,HP,33,29,0.013938045639936503
45,GI_net,17,22,0.1935107376283849
46,gene_gene_on_CbG_name_mapped,9,9,2.220446049250313e-16
47,gene_gene_on_GcG_name_mapped,33,35,0.019582378405907708
48,GOMF,6,2,
