,Layer,Hepatocellular_carcinoma nodes,Skin_ulcer nodes,sAB
0,coex_KDN,42,37,0.1244280786963714
1,coex_BST,30,20,0.3666666666666667
2,coex_OVR,31,30,0.26666666666666683
3,coex_LNG,36,43,0.4541343669250648
4,coex_ITI,44,31,0.042023460410557156
5,coex_VGN,38,32,0.08214285714285707
6,coex_HRV,24,31,0.28225806451612856
7,coex_MSG,41,36,0.20378875866680746
8,coex_ADV,25,28,0.38142857142857123
9,coex_EMS,31,34,0.1994134897360702
10,coex_SMU,33,30,0.24321789321789344
11,coex_ARG,33,30,0.37526964560862863
12,coex_TST,43,37,0.24951288497800128
13,coex_PIT,38,30,-0.11744066047471624
14,coex_LVR,41,37,0.27790595473522317
15,coex_THY,32,26,0.4786140583554377
16,coex_PNC,37,32,0.3852575401488445
17,coex_ATC,37,33,0.23587223587223605
18,coex_BRO,33,31,0.26287573313782975
19,coex_SKN,37,35,0.05440797940797926
20,coex_ADS,26,29,0.20054945054945073
21,coex_GEJ,36,32,0.20231729055258452
22,coex_BRB,25,26,0.044442700156985815
23,coex_UTR,26,21,-0.10225235757150619
24,coex_STM,42,32,0.11920849420849411
25,coex_HRA,32,28,0.19791666666666674
26,coex_PRS,33,33,0.10847312409812426
27,coex_ATA,29,33,0.3234064785788928
28,coex_FIB,34,22,0.21969696969696972
29,coex_BRC,35,32,0.10511727078891253
30,coex_ATT,32,30,0.30614035087719316
31,coex_TNV,21,20,0.5881578947368422
32,coex_SPL,39,38,0.7143514380356488
33,coex_LCL,27,21,0.045573221105136286
34,coex_CLS,39,31,0.29046195170159406
35,coex_EMC,39,34,0.3108801415302964
36,coex_CLT,40,30,-0.025980392156862653
37,coex_core,41,40,0.28542682926829266
38,coex_WBL,37,37,0.40540540540540526
39,co-essential,24,9,1.6349206349206349
40,GOBP,9,21,1.1668421052631577
41,ppi,50,50,0.1100000000000001
42,reactome_copathway,29,24,-0.06440264716126798
43,MP,11,15,1.684448160535117
44,HP,24,39,0.41315628815628824
45,GI_net,30,17,0.07596996245306631
46,gene_gene_on_CbG_name_mapped,13,14,-0.10063085063085064
47,gene_gene_on_GcG_name_mapped,35,37,-0.025622050622050585
48,GOMF,4,5,
