,Layer,myoclonic_epilepsy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,42,29,0.2720247019347468
1,coex_BST,34,19,0.3426573426573427
2,coex_OVR,35,21,0.08928571428571441
3,coex_LNG,41,31,0.6467348544453186
4,coex_ITI,39,24,0.28334859584859573
5,coex_VGN,38,25,0.03246449456975742
6,coex_HRV,14,16,0.18553571428571436
7,coex_MSG,37,26,0.13196713196713183
8,coex_ADV,35,20,0.3206043956043958
9,coex_EMS,36,22,0.37008011145942166
10,coex_SMU,36,19,0.2407407407407407
11,coex_ARG,38,22,0.029186602870813427
12,coex_TST,45,24,-0.04704106280193243
13,coex_PIT,41,25,0.17034737620103457
14,coex_LVR,34,33,0.35154385328861903
15,coex_THY,34,19,0.444695827048768
16,coex_PNC,36,21,0.13690476190476186
17,coex_ATC,38,22,0.282695374800638
18,coex_BRO,46,24,0.3817993366500829
19,coex_SKN,36,18,0.17592592592592582
20,coex_ADS,31,16,0.7719758064516129
21,coex_GEJ,36,19,0.26388888888888884
22,coex_BRB,25,15,0.6045045045045043
23,coex_UTR,33,21,0.11375661375661394
24,coex_STM,38,26,0.022330465587044657
25,coex_HRA,35,19,0.2636034530771374
26,coex_PRS,33,27,0.14977677689542057
27,coex_ATA,36,17,0.4314496238747072
28,coex_FIB,32,17,0.34375
29,coex_BRC,40,23,0.2728973627940128
30,coex_ATT,36,17,0.8234508547008548
31,coex_TNV,22,15,1.0876623376623376
32,coex_SPL,36,38,1.1381792751655766
33,coex_LCL,25,16,0.5303861003861006
34,coex_CLS,38,24,0.20553904923599342
35,coex_EMC,36,26,0.13589743589743586
36,coex_CLT,36,24,0.24305555555555558
37,coex_core,39,32,0.40218204734333773
38,coex_WBL,30,34,1.2070524984187223
39,co-essential,7,11,0.39610389610389607
40,GOBP,19,28,1.2705128205128204
41,ppi,49,50,0.20051329622758196
42,reactome_copathway,12,10,1.0782828282828283
43,MP,11,15,2.6279220779220775
44,HP,27,22,1.1486978629835773
45,GI_net,16,16,-0.17499999999999982
46,gene_gene_on_CbG_name_mapped,8,15,0.321195652173913
47,gene_gene_on_GcG_name_mapped,41,32,0.12517712985228457
48,GOMF,8,2,
