,Layer,Neoplasm_of_the_large_intestine nodes,Kaposi_sarcoma nodes,sAB
0,coex_KDN,50,40,-0.050833333333333286
1,coex_BST,37,21,-0.003994141925176553
2,coex_OVR,43,34,-0.01348243759504486
3,coex_LNG,49,33,0.26203467498110333
4,coex_ITI,49,38,0.11123868785263635
5,coex_VGN,43,27,0.028866740494647436
6,coex_HRV,24,27,0.22222222222222232
7,coex_MSG,49,35,0.015306122448979664
8,coex_ADV,36,25,0.16666666666666652
9,coex_EMS,38,23,0.05356004051468677
10,coex_SMU,38,28,-0.044714057871952706
11,coex_ARG,40,23,-0.0803030303030301
12,coex_TST,46,34,0.06572890025575462
13,coex_PIT,43,31,0.15438656961537678
14,coex_LVR,43,37,-0.0200895663104963
15,coex_THY,41,27,0.09359452736318374
16,coex_PNC,44,25,-0.038847167325428256
17,coex_ATC,38,29,-0.10942113389495334
18,coex_BRO,41,32,0.18038443869027732
19,coex_SKN,43,26,0.09765108501205577
20,coex_ADS,30,27,0.10409356725146157
21,coex_GEJ,40,36,-0.0020790020790022457
22,coex_BRB,25,29,0.1976923076923076
23,coex_UTR,34,19,-0.03293112116641517
24,coex_STM,48,37,-0.05693229994700588
25,coex_HRA,39,31,0.16487061325771002
26,coex_PRS,42,34,-0.14681277916572033
27,coex_ATA,38,23,0.18477323029598258
28,coex_FIB,41,25,0.060762195121951246
29,coex_BRC,40,28,0.13749999999999996
30,coex_ATT,39,26,-0.0538461538461541
31,coex_TNV,21,26,-0.22383290468396888
32,coex_SPL,41,25,-0.06193643754619371
33,coex_LCL,28,22,-0.1251298701298702
34,coex_CLS,46,34,0.10874270656879337
35,coex_EMC,45,29,-0.2280936108522318
36,coex_CLT,47,34,0.0187538566735046
37,coex_core,46,35,0.13692968330649502
38,coex_WBL,40,29,0.07053348325837083
39,co-essential,22,9,0.45977011494252906
40,GOBP,8,17,0.3516483516483513
41,ppi,50,45,-0.031695906432748444
42,reactome_copathway,33,24,0.23903632599284785
43,MP,13,12,0.09924242424242413
44,HP,25,14,0.010439560439560402
45,GI_net,37,23,-0.13385275227380466
46,gene_gene_on_CbG_name_mapped,17,17,-0.17647058823529416
47,gene_gene_on_GcG_name_mapped,36,25,-0.1164936247723134
48,GOMF,2,10,
