,Layer,Renal_tubular_acidosis nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,41,41,0.4125000000000001
1,coex_BST,29,28,0.21293103448275885
2,coex_OVR,31,32,0.45988244942591594
3,coex_LNG,33,38,0.4011164274322172
4,coex_ITI,30,39,0.4091973244147158
5,coex_VGN,28,33,0.17806578667234385
6,coex_HRV,18,28,1.771031746031746
7,coex_MSG,34,42,0.2586613592805542
8,coex_ADV,29,28,0.6544145509662753
9,coex_EMS,28,25,0.33886039886039887
10,coex_SMU,28,30,0.4833333333333334
11,coex_ARG,33,29,0.06173155737704916
12,coex_TST,33,35,0.2940794499618027
13,coex_PIT,33,38,0.42628992628992624
14,coex_LVR,29,37,0.6384115796831313
15,coex_THY,26,32,0.771462912087912
16,coex_PNC,26,33,0.5855556872506029
17,coex_ATC,27,34,0.31706731656881226
18,coex_BRO,28,32,0.2729166666666667
19,coex_SKN,30,34,0.3161151960784314
20,coex_ADS,19,27,0.6316232500443029
21,coex_GEJ,31,28,0.28418678096097416
22,coex_BRB,15,27,0.11269841269841274
23,coex_UTR,24,22,0.0686507936507934
24,coex_STM,29,41,0.4614682205935363
25,coex_HRA,31,33,0.6921927141268078
26,coex_PRS,28,30,0.17713464696223324
27,coex_ATA,29,29,0.3233705949223191
28,coex_FIB,26,30,0.23571142585456206
29,coex_BRC,30,33,0.4095766129032259
30,coex_ATT,29,31,0.28594664931685054
31,coex_TNV,11,23,0.48030303030303
32,coex_SPL,32,28,0.6970238095238095
33,coex_LCL,25,20,0.34015151515151487
34,coex_CLS,28,32,0.6073088338670625
35,coex_EMC,29,34,0.21852300242130784
36,coex_CLT,30,36,0.37070707070707054
37,coex_core,38,40,0.5603409933283916
38,coex_WBL,36,35,0.4305088702147528
39,co-essential,18,15,0.6396825396825396
40,GOBP,37,14,2.1631313131313132
41,ppi,49,50,0.24196866625438052
42,reactome_copathway,15,28,1.011182336182336
43,MP,21,16,1.7324134199134198
44,HP,36,22,0.47313653779171005
45,GI_net,18,25,-0.04620155038759699
46,gene_gene_on_CbG_name_mapped,17,12,0.3069641649763353
47,gene_gene_on_GcG_name_mapped,31,39,-0.1077395722557013
48,GOMF,13,4,
