,Layer,Gynecomastia nodes,Glaucoma nodes,sAB
0,coex_KDN,37,39,-0.018665426560163567
1,coex_BST,26,21,0.053663003663003916
2,coex_OVR,28,35,0.048015873015872845
3,coex_LNG,30,33,0.1645161290322581
4,coex_ITI,31,37,0.1232755525924405
5,coex_VGN,29,40,0.09106696651674162
6,coex_HRV,16,26,0.018511569731082034
7,coex_MSG,37,41,0.09588763247299825
8,coex_ADV,25,19,0.17430622009569374
9,coex_EMS,24,29,0.3237481259370312
10,coex_SMU,25,29,0.330202233788766
11,coex_ARG,25,29,0.794084880636605
12,coex_TST,36,41,-0.05617147080561713
13,coex_PIT,32,38,0.05176221804511272
14,coex_LVR,27,37,0.22496690238625705
15,coex_THY,26,32,0.6972807017543863
16,coex_PNC,28,34,0.07258064516129048
17,coex_ATC,30,32,0.203125
18,coex_BRO,30,33,0.20937950937950944
19,coex_SKN,29,36,0.3973695844385501
20,coex_ADS,21,26,0.508424908424908
21,coex_GEJ,32,27,0.6520640649672909
22,coex_BRB,18,27,0.0740740740740744
23,coex_UTR,23,28,0.3574735449735451
24,coex_STM,28,39,0.2205046197583509
25,coex_HRA,28,26,0.2628743805214393
26,coex_PRS,26,28,0.023097273097273163
27,coex_ATA,27,30,0.4804029304029305
28,coex_FIB,22,27,0.23921911421911402
29,coex_BRC,26,35,0.06070978202125743
30,coex_ATT,24,32,0.5743401759530791
31,coex_TNV,15,28,0.7693798449612399
32,coex_SPL,27,27,0.07905982905982922
33,coex_LCL,23,13,0.4921962095875141
34,coex_CLS,26,30,0.41730769230769216
35,coex_EMC,28,32,0.191815476190476
36,coex_CLT,29,37,0.2045811975768872
37,coex_core,31,37,0.28055555555555545
38,coex_WBL,26,27,0.29616190936945674
39,co-essential,14,6,0.11099865047233459
40,GOBP,26,9,1.4900793650793656
41,ppi,50,49,0.25368583797155253
42,reactome_copathway,14,23,0.6263736263736264
43,MP,18,11,1.1253968253968258
44,HP,39,20,0.728259452411995
45,GI_net,19,21,0.1848370927318297
46,gene_gene_on_CbG_name_mapped,12,9,-0.18253968253968256
47,gene_gene_on_GcG_name_mapped,30,38,0.052425180598555166
48,GOMF,11,2,
