,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Atonic_seizure nodes,sAB
0,coex_KDN,34,38,-0.22674600864327465
1,coex_BST,25,27,0.1200000000000001
2,coex_OVR,18,22,-0.17704517704517686
3,coex_LNG,27,24,0.2065631808278865
4,coex_ITI,33,36,0.1508563899868247
5,coex_VGN,34,30,-0.04436274509803928
6,coex_HRV,16,20,0.17708333333333348
7,coex_MSG,25,33,0.2868547544409612
8,coex_ADV,23,26,0.4656521739130435
9,coex_EMS,28,21,0.3455687830687828
10,coex_SMU,24,25,0.01437711995066282
11,coex_ARG,30,28,0.2763136288998358
12,coex_TST,32,35,0.002238805970149249
13,coex_PIT,35,38,-0.06115401115401098
14,coex_LVR,22,28,0.10019480519480517
15,coex_THY,23,24,1.0021739130434786
16,coex_PNC,30,25,0.1240880503144659
17,coex_ATC,29,29,0.31034482758620685
18,coex_BRO,45,38,-0.15462714435756797
19,coex_SKN,25,26,0.06384615384615389
20,coex_ADS,21,27,0.9169071669071673
21,coex_GEJ,29,29,0.3633576898053148
22,coex_BRB,35,31,0.035400083787180625
23,coex_UTR,17,14,-0.12618595825426926
24,coex_STM,29,31,-0.08329625509825744
25,coex_HRA,23,29,0.23888565921121074
26,coex_PRS,23,24,-0.03954671600370041
27,coex_ATA,25,25,0.22583333333333355
28,coex_FIB,16,20,0.13333333333333353
29,coex_BRC,37,36,-0.09005308125026446
30,coex_ATT,26,23,0.22909698996655514
31,coex_TNV,21,22,0.9477272727272732
32,coex_SPL,24,24,0.2916666666666665
33,coex_LCL,11,21,0.067965367965368
34,coex_CLS,31,30,0.3524466921815199
35,coex_EMC,22,21,-0.0439393939393935
36,coex_CLT,30,34,-0.009740670461732881
37,coex_core,32,34,0.5390442890442892
38,coex_WBL,18,28,0.02018633540372683
39,co-essential,6,9,-0.8511904761904758
40,GOBP,29,17,-0.28430451127819545
41,ppi,50,50,-0.16999999999999993
42,reactome_copathway,13,18,0.8205555555555559
43,MP,12,12,0.3528138528138527
44,HP,20,25,-0.12388888888888894
45,GI_net,17,18,-0.23118580765639596
46,gene_gene_on_CbG_name_mapped,17,22,0.03969559851912785
47,gene_gene_on_GcG_name_mapped,38,35,-0.22277783499845505
48,GOMF,6,7,
