,Layer,Kidney_failure nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,39,36,-0.05982905982905984
1,coex_BST,21,18,0.34285714285714275
2,coex_OVR,29,29,-0.17825814536340845
3,coex_LNG,33,25,0.19583333333333375
4,coex_ITI,33,34,0.5220588235294117
5,coex_VGN,33,29,0.11823406478578913
6,coex_HRV,22,31,0.47022885400494485
7,coex_MSG,39,33,-0.19065656565656575
8,coex_ADV,24,19,0.28039575683394524
9,coex_EMS,22,20,0.2730519480519482
10,coex_SMU,26,20,-0.0830267558528428
11,coex_ARG,25,23,0.28902173913043505
12,coex_TST,33,30,-0.1159451659451658
13,coex_PIT,26,33,0.17059776381810265
14,coex_LVR,31,34,0.21456901110523519
15,coex_THY,24,22,0.9034090909090908
16,coex_PNC,27,25,0.2678917378917378
17,coex_ATC,31,16,0.38214118747078096
18,coex_BRO,27,35,0.2055555555555555
19,coex_SKN,29,28,0.30014764025824525
20,coex_ADS,27,25,0.16492877492877467
21,coex_GEJ,22,20,0.6911255411255408
22,coex_BRB,29,33,0.1580796252927401
23,coex_UTR,20,17,0.3117481203007517
24,coex_STM,27,35,0.1872031143969426
25,coex_HRA,26,27,0.6681481481481482
26,coex_PRS,18,23,0.2579365079365079
27,coex_ATA,31,22,0.3617715617715618
28,coex_FIB,18,16,0.5451388888888888
29,coex_BRC,17,32,0.3224789915966386
30,coex_ATT,30,24,-0.05878787878787861
31,coex_TNV,27,24,0.6266496598639457
32,coex_SPL,30,23,0.05909090909090908
33,coex_LCL,15,15,0.1071428571428572
34,coex_CLS,30,32,0.19367816091954015
35,coex_EMC,25,27,0.11598290598290628
36,coex_CLT,34,30,0.16918767507002785
37,coex_core,33,36,0.31486013986013983
38,coex_WBL,26,27,0.9819607843137255
39,co-essential,6,5,0.6523809523809523
40,GOBP,13,14,0.5122377622377621
41,ppi,50,50,0.1399999999999999
42,reactome_copathway,22,21,0.00952380952380949
43,MP,10,10,1.3073099415204679
44,HP,24,20,-0.06904761904761902
45,GI_net,23,13,-0.17892976588628784
46,gene_gene_on_CbG_name_mapped,15,23,-0.019527078565980238
47,gene_gene_on_GcG_name_mapped,23,37,-0.24764982373678035
48,GOMF,1,3,
