,Layer,Urticaria nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,39,48,0.3568468169761274
1,coex_BST,16,40,0.19874213836478005
2,coex_OVR,25,45,0.0015873015873013596
3,coex_LNG,31,43,0.5991393681753774
4,coex_ITI,33,47,0.2676901998710508
5,coex_VGN,27,46,0.1964882943143813
6,coex_HRV,20,16,0.533455882352941
7,coex_MSG,33,44,-0.024350649350649567
8,coex_ADV,28,44,0.8079004329004329
9,coex_EMS,21,41,0.020833333333333037
10,coex_SMU,21,38,0.3373157469946053
11,coex_ARG,21,39,0.5097259062776303
12,coex_TST,21,46,-0.01934427242668657
13,coex_PIT,30,40,0.21071428571428563
14,coex_LVR,32,38,0.4259868421052633
15,coex_THY,24,39,0.4390441255798905
16,coex_PNC,23,39,0.3768991259331509
17,coex_ATC,26,43,0.6442741569433692
18,coex_BRO,26,41,0.6050849963045084
19,coex_SKN,31,44,0.14318181818181852
20,coex_ADS,28,26,1.017777777777778
21,coex_GEJ,30,42,0.6502164502164502
22,coex_BRB,19,22,0.9703103913630229
23,coex_UTR,14,40,-0.013029100529100557
24,coex_STM,27,41,0.13960745668062735
25,coex_HRA,21,39,-0.1656894224952299
26,coex_PRS,24,44,0.10010822510822504
27,coex_ATA,25,32,0.3747235023041475
28,coex_FIB,16,38,0.04418982661907189
29,coex_BRC,19,38,0.290909090909091
30,coex_ATT,29,41,0.5737891455993669
31,coex_TNV,18,15,0.7484126984126984
32,coex_SPL,35,43,0.47769926931493645
33,coex_LCL,14,37,0.0750435309258839
34,coex_CLS,27,41,0.11420595533498767
35,coex_EMC,26,43,0.4469401650068088
36,coex_CLT,26,43,0.26137512639029303
37,coex_core,35,45,0.5955224514048043
38,coex_WBL,37,33,0.48924768924768913
39,co-essential,5,16,1.774342105263158
40,GOBP,25,15,1.6961916461916466
41,ppi,48,50,0.28613095238095254
42,reactome_copathway,22,15,1.156060606060606
43,MP,17,9,2.313725490196078
44,HP,25,29,0.6761430395913153
45,GI_net,15,26,0.2307692307692304
46,gene_gene_on_CbG_name_mapped,13,2,0.2794871794871796
47,gene_gene_on_GcG_name_mapped,31,38,0.1220380896139368
48,GOMF,8,6,
