,Layer,Retinoblastoma nodes,Nephroblastoma nodes,sAB
0,coex_KDN,46,45,0.009688379253596668
1,coex_BST,40,37,0.09195906432748524
2,coex_OVR,38,39,-0.07824631508842028
3,coex_LNG,45,41,0.04315875716896711
4,coex_ITI,44,44,0.011363636363636465
5,coex_VGN,40,46,0.1768832153690596
6,coex_HRV,18,16,0.34375
7,coex_MSG,42,45,0.11365626710454313
8,coex_ADV,34,34,0.18092691622103363
9,coex_EMS,41,37,0.08567381128356732
10,coex_SMU,41,38,-0.16594627971596165
11,coex_ARG,40,34,-0.025059618441971354
12,coex_TST,45,46,-0.011028826246217482
13,coex_PIT,42,40,0.024420024420024555
14,coex_LVR,38,38,0.06578947368421062
15,coex_THY,42,33,0.3974025974025972
16,coex_PNC,40,39,-0.0019555339175587605
17,coex_ATC,45,42,0.13543417366946775
18,coex_BRO,41,36,0.32216211259856964
19,coex_SKN,42,41,0.24071197682716927
20,coex_ADS,39,23,0.753065774804905
21,coex_GEJ,35,40,0.15046477495107635
22,coex_BRB,27,13,0.03956043956043942
23,coex_UTR,36,35,0.04309747373127659
24,coex_STM,43,43,0.20930232558139528
25,coex_HRA,41,37,0.05687676419383725
26,coex_PRS,38,39,0.03951750004381571
27,coex_ATA,41,33,0.31457871396895776
28,coex_FIB,41,36,0.02499999999999991
29,coex_BRC,41,34,-0.027101865136298642
30,coex_ATT,41,37,0.04870129870129869
31,coex_TNV,16,19,-0.14912280701754366
32,coex_SPL,43,42,0.010996026317503738
33,coex_LCL,38,30,0.2008771929824562
34,coex_CLS,38,37,-0.10368966659521806
35,coex_EMC,40,42,-0.013066202090592505
36,coex_CLT,39,44,0.0028330103631308834
37,coex_core,45,42,0.19053092501368352
38,coex_WBL,41,33,-0.04493517908152045
39,co-essential,24,24,0.9772727272727275
40,GOBP,12,9,-0.8125
41,ppi,50,48,-0.04325680272108845
42,reactome_copathway,34,13,0.0537958773252889
43,MP,10,12,-0.20833333333333304
44,HP,25,27,0.148119658119658
45,GI_net,37,28,-0.1326147576147576
46,gene_gene_on_CbG_name_mapped,13,2,0.5025641025641026
47,gene_gene_on_GcG_name_mapped,36,33,-0.083443126921388
48,GOMF,3,3,
