,Layer,Dysuria nodes,Pancreatitis nodes,sAB
0,coex_KDN,45,27,0.3752257132538821
1,coex_BST,40,24,1.211320754716981
2,coex_OVR,39,15,0.27432787338447717
3,coex_LNG,41,18,0.918595838500758
4,coex_ITI,42,27,0.5334138486312403
5,coex_VGN,39,19,0.7148541114058353
6,coex_HRV,19,15,0.7916666666666665
7,coex_MSG,41,19,0.41756525459991467
8,coex_ADV,34,24,1.4169863597612957
9,coex_EMS,37,21,0.7543333607163394
10,coex_SMU,36,10,0.8066425120772949
11,coex_ARG,39,16,0.6988053613053615
12,coex_TST,42,21,0.5745511319281813
13,coex_PIT,43,20,0.743329253365973
14,coex_LVR,38,20,0.6272556390977444
15,coex_THY,36,17,1.56781045751634
16,coex_PNC,37,28,0.8648128898128897
17,coex_ATC,43,13,0.8068297981088679
18,coex_BRO,43,19,0.5201958384332923
19,coex_SKN,38,13,0.6900650948638569
20,coex_ADS,30,25,1.6691777188328913
21,coex_GEJ,37,13,0.3778976605063562
22,coex_BRB,28,19,0.7213323162979917
23,coex_UTR,35,8,0.4364982578397214
24,coex_STM,40,19,0.6471677074041038
25,coex_HRA,37,14,0.8264846479132193
26,coex_PRS,43,10,0.26296958855098396
27,coex_ATA,41,27,1.6438746438746439
28,coex_FIB,36,7,0.3672019195275009
29,coex_BRC,37,17,0.7071169046404893
30,coex_ATT,41,20,1.080691056910569
31,coex_TNV,17,21,1.6914458090928677
32,coex_SPL,40,17,0.5194518716577543
33,coex_LCL,31,6,0.34038070328392944
34,coex_CLS,40,14,0.5448717948717947
35,coex_EMC,38,14,0.3099438155829133
36,coex_CLT,39,18,0.5265567765567769
37,coex_core,45,36,0.8981343283582088
38,coex_WBL,41,19,0.4648480958493795
39,co-essential,14,7,0.9754901960784315
40,GOBP,24,16,1.3868347338935578
41,ppi,48,49,0.28911783785679246
42,reactome_copathway,5,16,1.7880952380952382
43,MP,12,13,1.8696969696969692
44,HP,20,17,0.5910174880763117
45,GI_net,19,12,-0.0431034482758621
46,gene_gene_on_CbG_name_mapped,5,12,0.6926470588235294
47,gene_gene_on_GcG_name_mapped,29,33,0.049651127515421
48,GOMF,8,12,
