,Layer,Gingival_disorder nodes,Meningitis nodes,sAB
0,coex_KDN,48,35,0.6984258462421116
1,coex_BST,42,12,0.5628306878306875
2,coex_OVR,42,23,0.6174470457079155
3,coex_LNG,47,31,0.7856129685916922
4,coex_ITI,44,34,0.37770710821326414
5,coex_VGN,42,29,0.8179838652102518
6,coex_HRV,35,22,1.301948051948052
7,coex_MSG,47,28,0.5877760891590675
8,coex_ADV,38,21,0.9877495462794916
9,coex_EMS,39,19,1.0063986225510724
10,coex_SMU,40,21,0.7583333333333333
11,coex_ARG,37,20,0.6611111111111112
12,coex_TST,46,24,0.2085144927536231
13,coex_PIT,44,28,0.4014727902297506
14,coex_LVR,43,30,0.7257884676648612
15,coex_THY,43,29,1.464648489708634
16,coex_PNC,42,23,0.8436773371555981
17,coex_ATC,39,29,0.6444323087325117
18,coex_BRO,42,26,0.96342383107089
19,coex_SKN,46,22,0.6979797979797979
20,coex_ADS,40,26,1.6785714285714284
21,coex_GEJ,39,23,0.9858340060738864
22,coex_BRB,29,24,1.1149425287356323
23,coex_UTR,42,16,0.538531026335904
24,coex_STM,42,26,0.5873195432018963
25,coex_HRA,45,16,1.019157088122605
26,coex_PRS,45,26,1.31397616468039
27,coex_ATA,39,26,1.4214104214104215
28,coex_FIB,39,8,0.20598063284233525
29,coex_BRC,42,15,0.4711779448621556
30,coex_ATT,43,27,1.2796357819613635
31,coex_TNV,32,18,1.5388194444444445
32,coex_SPL,45,30,0.8988888888888886
33,coex_LCL,30,20,0.21886898096304575
34,coex_CLS,44,28,0.4789710626414365
35,coex_EMC,43,28,0.6120443591783258
36,coex_CLT,42,30,0.861904761904762
37,coex_core,48,35,0.8794863315696648
38,coex_WBL,40,36,0.34283033033032995
39,co-essential,15,1,
40,GOBP,25,24,1.6580350543765174
41,ppi,46,50,0.32369565217391294
42,reactome_copathway,9,19,0.4214975845410627
43,MP,12,14,2.3375457875457872
44,HP,8,33,0.6163155949741315
45,GI_net,18,19,0.2549175970228599
46,gene_gene_on_CbG_name_mapped,4,9,0.3333333333333335
47,gene_gene_on_GcG_name_mapped,35,27,0.13691756272401445
48,GOMF,6,7,
