,Layer,Eczematoid_dermatitis nodes,Exanthem nodes,sAB
0,coex_KDN,45,44,-0.20322040631029403
1,coex_BST,18,22,-0.18864468864468886
2,coex_OVR,32,37,-0.053350225225225145
3,coex_LNG,42,38,-0.06936090225563918
4,coex_ITI,36,42,-0.06449343339587243
5,coex_VGN,38,38,-0.1129211403184005
6,coex_HRV,26,24,0.08391025641025651
7,coex_MSG,39,41,-0.0850687929956222
8,coex_ADV,28,30,-0.16441798941798957
9,coex_EMS,33,33,-0.015151515151515138
10,coex_SMU,33,31,-0.12771217357910913
11,coex_ARG,32,34,0.010050996204933549
12,coex_TST,36,38,-0.12211553658922103
13,coex_PIT,34,35,0.013116550968213625
14,coex_LVR,32,40,-0.23854166666666665
15,coex_THY,35,35,-0.05714285714285694
16,coex_PNC,30,36,0.03358585858585861
17,coex_ATC,35,34,-0.08823529411764697
18,coex_BRO,31,33,0.18279569892473124
19,coex_SKN,37,40,0.055604187183134535
20,coex_ADS,35,33,0.1751082251082252
21,coex_GEJ,37,40,0.048110836142559066
22,coex_BRB,27,25,-0.15999999999999992
23,coex_UTR,20,25,0.23139534883720936
24,coex_STM,32,37,-0.15444381763167336
25,coex_HRA,23,31,-0.009871339840283655
26,coex_PRS,31,26,-0.14709851551956787
27,coex_ATA,34,31,-0.09042033235581615
28,coex_FIB,14,20,0.14399635452267034
29,coex_BRC,21,27,-0.2238756613756614
30,coex_ATT,36,35,0.06482259570494842
31,coex_TNV,27,24,-0.08054421768707476
32,coex_SPL,38,42,-0.092731829573935
33,coex_LCL,21,19,-0.008333333333333304
34,coex_CLS,29,34,-0.10932564094037844
35,coex_EMC,41,37,-0.17765326301911655
36,coex_CLT,34,35,-0.14744667097608266
37,coex_core,44,46,-0.05503952569169979
38,coex_WBL,39,39,0.1282051282051282
39,co-essential,4,11,-0.7712121212121215
40,GOBP,13,21,0.6935897435897438
41,ppi,50,50,0.0
42,reactome_copathway,23,21,0.2858304297328689
43,MP,13,10,0.05984848484848504
44,HP,26,36,0.17393851668045213
45,GI_net,22,26,0.23076923076923084
46,gene_gene_on_CbG_name_mapped,10,11,0.09632034632034636
47,gene_gene_on_GcG_name_mapped,26,30,-0.1514652014652016
48,GOMF,9,9,
