,Layer,Endometriosis nodes,Thrombophilia nodes,sAB
0,coex_KDN,41,40,0.1875
1,coex_BST,26,22,0.12616550116550096
2,coex_OVR,25,21,-0.0077380952380949886
3,coex_LNG,27,27,0.2777777777777777
4,coex_ITI,35,25,0.09999999999999987
5,coex_VGN,31,30,0.1522617723396369
6,coex_HRV,33,24,0.43675595238095233
7,coex_MSG,35,33,-0.10226636108989062
8,coex_ADV,19,22,0.27667140825035563
9,coex_EMS,20,22,-0.04642857142857171
10,coex_SMU,24,23,0.2970436324390995
11,coex_ARG,27,17,-0.5791997354497354
12,coex_TST,36,30,-0.08207070707070718
13,coex_PIT,32,29,0.1719966629588432
14,coex_LVR,28,42,0.31785714285714284
15,coex_THY,33,23,0.3314041031432331
16,coex_PNC,26,29,0.2278394019773331
17,coex_ATC,27,23,0.26515297906602253
18,coex_BRO,29,28,0.03722668740817525
19,coex_SKN,25,29,0.0344827586206895
20,coex_ADS,33,25,0.335151515151515
21,coex_GEJ,27,22,0.03105590062111796
22,coex_BRB,23,21,0.23668360624882334
23,coex_UTR,17,10,0.9697357203751067
24,coex_STM,35,29,0.14613608374384235
25,coex_HRA,27,23,0.2691883372734436
26,coex_PRS,22,25,0.058607350096711475
27,coex_ATA,27,26,0.11538461538461542
28,coex_FIB,20,18,-0.34431637519872815
29,coex_BRC,31,24,0.4120590648072191
30,coex_ATT,26,30,0.40384615384615374
31,coex_TNV,25,25,0.12569148936170205
32,coex_SPL,25,39,0.3038942307692307
33,coex_LCL,12,11,-0.08787878787878789
34,coex_CLS,27,23,0.24533799533799527
35,coex_EMC,27,29,-0.027075721935838626
36,coex_CLT,28,26,-0.003357753357753346
37,coex_core,39,32,0.16298076923076898
38,coex_WBL,30,31,0.33972932888394514
39,co-essential,7,8,0.19711538461538458
40,GOBP,8,24,1.1279761904761907
41,ppi,49,49,0.2755102040816326
42,reactome_copathway,16,24,0.6595394736842106
43,MP,10,15,0.16666666666666652
44,HP,16,31,0.5919578853046596
45,GI_net,19,17,-0.37815126050420167
46,gene_gene_on_CbG_name_mapped,14,22,0.42207792207792205
47,gene_gene_on_GcG_name_mapped,33,26,0.06580143020820994
48,GOMF,5,4,4.0
