,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Myopathy nodes,sAB
0,coex_KDN,34,32,0.03395164884135493
1,coex_BST,25,24,0.3169326241134751
2,coex_OVR,18,23,0.13933074113349875
3,coex_LNG,27,33,0.1491780445699935
4,coex_ITI,33,32,0.2616040209790209
5,coex_VGN,34,25,0.4128991596638658
6,coex_HRV,16,16,0.03125
7,coex_MSG,25,34,0.3963908275174477
8,coex_ADV,23,27,0.4794128576737271
9,coex_EMS,28,26,0.8409259259259261
10,coex_SMU,24,28,0.349358974358974
11,coex_ARG,30,24,0.23782051282051286
12,coex_TST,32,27,0.05131826741996237
13,coex_PIT,35,27,0.29472606246799815
14,coex_LVR,22,32,0.1678321678321677
15,coex_THY,23,23,1.2688470066518849
16,coex_PNC,30,23,0.5427832002366166
17,coex_ATC,29,25,0.6862068965517241
18,coex_BRO,45,27,1.0041958041958043
19,coex_SKN,25,29,0.47250000000000014
20,coex_ADS,21,16,0.9159663865546217
21,coex_GEJ,29,31,0.5172086632205719
22,coex_BRB,35,15,1.3209523809523809
23,coex_UTR,17,21,0.323762838468721
24,coex_STM,29,30,0.034473017728423816
25,coex_HRA,23,27,0.16869565217391314
26,coex_PRS,23,32,0.2013401901199936
27,coex_ATA,25,25,0.31250000000000044
28,coex_FIB,16,24,0.5375000000000001
29,coex_BRC,37,24,0.1936344238975818
30,coex_ATT,26,25,0.7551839464882941
31,coex_TNV,21,18,0.9621323529411763
32,coex_SPL,24,32,0.3050595238095237
33,coex_LCL,11,18,0.13862765586903514
34,coex_CLS,31,32,0.35967741935483866
35,coex_EMC,22,26,0.4265734265734267
36,coex_CLT,30,28,0.11621510673234825
37,coex_core,32,37,0.5885416666666665
38,coex_WBL,18,32,0.3125
39,co-essential,6,7,-0.1794871794871793
40,GOBP,29,27,0.8091356107660457
41,ppi,50,49,0.19286332714904142
42,reactome_copathway,13,18,1.2875188536953246
43,MP,12,18,-0.32244008714596895
44,HP,20,26,0.23302675585284294
45,GI_net,17,19,0.028379772961816485
46,gene_gene_on_CbG_name_mapped,17,16,0.1200423351158646
47,gene_gene_on_GcG_name_mapped,38,27,0.11368271105113203
48,GOMF,6,8,
