,Layer,Epididymitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,42,41,-0.047884919468816234
1,coex_BST,29,17,0.2173669467787116
2,coex_OVR,30,20,0.17380777696258276
3,coex_LNG,35,30,0.25675800492610845
4,coex_ITI,43,36,0.5072735747227948
5,coex_VGN,30,29,0.43674055829228253
6,coex_HRV,21,20,0.13602756892230605
7,coex_MSG,42,28,0.2815126050420169
8,coex_ADV,38,24,0.8406306715063523
9,coex_EMS,29,22,0.4345995451472122
10,coex_SMU,24,22,0.0015590689503732769
11,coex_ARG,25,18,0.01944444444444482
12,coex_TST,28,28,0.17857142857142838
13,coex_PIT,33,26,0.09429694599186123
14,coex_LVR,28,32,0.07380952380952377
15,coex_THY,24,30,0.23714104486218446
16,coex_PNC,27,22,0.2596371882086166
17,coex_ATC,32,24,0.1346726190476193
18,coex_BRO,31,24,-0.191825513196481
19,coex_SKN,32,28,0.4732142857142856
20,coex_ADS,31,22,0.6486333204227304
21,coex_GEJ,36,23,1.0760869565217392
22,coex_BRB,25,17,0.01775910364145661
23,coex_UTR,20,20,0.43046558704453464
24,coex_STM,32,30,0.34539044597214863
25,coex_HRA,28,27,0.20342001576044133
26,coex_PRS,28,26,0.1292525557231441
27,coex_ATA,29,24,0.21256410256410252
28,coex_FIB,22,21,0.3045655894493102
29,coex_BRC,29,22,-0.03996865203761768
30,coex_ATT,26,28,0.32187675070027977
31,coex_TNV,27,19,0.9152470548351559
32,coex_SPL,23,35,-0.06337545512957798
33,coex_LCL,16,20,-0.2209967320261439
34,coex_CLS,35,29,0.63730407523511
35,coex_EMC,28,30,0.2857142857142856
36,coex_CLT,33,32,0.2074353448275863
37,coex_core,44,37,0.4825581395348837
38,coex_WBL,30,33,0.17900432900432905
39,co-essential,15,2,-1.0357142857142856
40,GOBP,9,18,0.03668478260869534
41,ppi,49,50,0.13095650381364665
42,reactome_copathway,22,19,-0.017397660818713412
43,MP,15,22,-0.38023088023088025
44,HP,14,27,-0.04236030455542661
45,GI_net,25,25,0.385
46,gene_gene_on_CbG_name_mapped,10,12,-0.37196969696969684
47,gene_gene_on_GcG_name_mapped,28,33,-0.10288482009793487
48,GOMF,5,8,
