,Layer,Epididymitis nodes,Gingivostomatitis nodes,sAB
0,coex_KDN,42,28,0.0797619047619047
1,coex_BST,29,8,0.6673669467787118
2,coex_OVR,30,13,0.7328912466843502
3,coex_LNG,35,39,1.1284427284427283
4,coex_ITI,43,20,0.30878552971576223
5,coex_VGN,30,15,0.4010822510822507
6,coex_HRV,21,21,1.4047619047619049
7,coex_MSG,42,36,0.40491452991453003
8,coex_ADV,38,31,1.0016116729411184
9,coex_EMS,29,11,0.8151253918495303
10,coex_SMU,24,14,0.11826458565588993
11,coex_ARG,25,11,0.6136363636363638
12,coex_TST,28,19,0.120640697488402
13,coex_PIT,33,17,0.4118931663574521
14,coex_LVR,28,34,0.6699986446191377
15,coex_THY,24,15,0.7935163996948895
16,coex_PNC,27,20,0.6374704491725769
17,coex_ATC,32,29,0.8057331239041499
18,coex_BRO,31,21,0.14433416046319247
19,coex_SKN,32,19,0.8031015037593985
20,coex_ADS,31,22,0.7897139379184419
21,coex_GEJ,36,32,1.8037713219616203
22,coex_BRB,25,20,0.10803827751196193
23,coex_UTR,20,7,0.7750626566416039
24,coex_STM,32,31,0.967741935483871
25,coex_HRA,28,21,1.2681025055864596
26,coex_PRS,28,9,0.7129629629629628
27,coex_ATA,29,34,0.7417797888386124
28,coex_FIB,22,6,0.9036796536796539
29,coex_BRC,29,13,0.19887583680687104
30,coex_ATT,26,18,0.5800000000000001
31,coex_TNV,27,13,0.9175925925925927
32,coex_SPL,23,37,0.6417547982765375
33,coex_LCL,16,13,2.0400641025641026
34,coex_CLS,35,12,0.7922077922077921
35,coex_EMC,28,31,0.6683497536945815
36,coex_CLT,33,21,0.5939102564102563
37,coex_core,44,36,1.2281625351392793
38,coex_WBL,30,35,0.42843137254901964
39,co-essential,15,1,
40,GOBP,9,18,0.40340909090909083
41,ppi,49,47,0.29010167896945993
42,reactome_copathway,22,20,1.3447368421052635
43,MP,15,14,0.6428571428571428
44,HP,14,14,0.24999999999999956
45,GI_net,25,12,0.6294949494949496
46,gene_gene_on_CbG_name_mapped,10,18,0.4539682539682539
47,gene_gene_on_GcG_name_mapped,28,25,0.014582210242587657
48,GOMF,5,9,
