,Layer,Conjunctivitis nodes,Erysipelas nodes,sAB
0,coex_KDN,39,46,0.10829234703914992
1,coex_BST,30,22,0.2644257703081232
2,coex_OVR,37,34,0.22456761799112535
3,coex_LNG,39,37,0.07853703906335463
4,coex_ITI,39,42,-0.0582082551594747
5,coex_VGN,35,39,0.30147801009372754
6,coex_HRV,24,31,-0.4433835463582878
7,coex_MSG,41,41,0.15853658536585358
8,coex_ADV,30,33,-0.007277694982612548
9,coex_EMS,34,27,0.02570067575052626
10,coex_SMU,28,28,0.05357142857142838
11,coex_ARG,33,30,-0.05785890046179265
12,coex_TST,33,43,-0.03910277808686602
13,coex_PIT,35,37,-0.17142857142857149
14,coex_LVR,35,41,0.158729139922978
15,coex_THY,35,36,0.25449921752738636
16,coex_PNC,33,30,0.1526328862394437
17,coex_ATC,35,37,0.12592235092235105
18,coex_BRO,33,42,-0.0344588744588743
19,coex_SKN,35,35,0.24285714285714288
20,coex_ADS,33,34,0.2543565594487456
21,coex_GEJ,36,36,0.11244164332399587
22,coex_BRB,23,31,0.2175731130850349
23,coex_UTR,26,29,0.4862637362637363
24,coex_STM,32,37,0.2726694085389738
25,coex_HRA,30,31,0.09568129737352393
26,coex_PRS,35,34,-0.1155401290951159
27,coex_ATA,35,37,0.007185757185757424
28,coex_FIB,28,21,0.04081632653061229
29,coex_BRC,26,31,0.2850224195725044
30,coex_ATT,35,39,0.03620571035431697
31,coex_TNV,24,37,0.11527777777777803
32,coex_SPL,37,32,0.0074850665883274825
33,coex_LCL,27,21,0.07903439153439162
34,coex_CLS,34,40,0.37767309241926483
35,coex_EMC,36,34,-0.07460317460317456
36,coex_CLT,37,40,0.2528461680858942
37,coex_core,40,43,0.2531591482207902
38,coex_WBL,37,36,0.08333333333333326
39,co-essential,8,6,-0.1105769230769229
40,GOBP,20,21,0.4854406130268196
41,ppi,49,49,0.16326530612244894
42,reactome_copathway,25,24,0.5500658761528325
43,MP,20,15,0.9607526881720427
44,HP,33,19,0.4275242301558091
45,GI_net,24,21,-0.21504706533776274
46,gene_gene_on_CbG_name_mapped,14,14,0.1428571428571428
47,gene_gene_on_GcG_name_mapped,34,30,-0.1770220588235294
48,GOMF,4,8,
