,Layer,Renovascular_hypertension nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,43,41,-0.0455460119385247
1,coex_BST,24,17,0.3757771401243424
2,coex_OVR,26,29,0.15196377696377672
3,coex_LNG,31,32,0.4575332821300564
4,coex_ITI,39,34,-0.05838447075352793
5,coex_VGN,33,30,-0.09098124098124116
6,coex_HRV,21,17,-0.31699346405228734
7,coex_MSG,39,36,0.024059829059829063
8,coex_ADV,21,20,0.22825203252032544
9,coex_EMS,23,22,-0.0975437605872389
10,coex_SMU,27,23,-0.173816425120773
11,coex_ARG,21,23,-0.03726708074534146
12,coex_TST,32,33,-0.2309149184149184
13,coex_PIT,33,28,-0.14665389255553207
14,coex_LVR,27,31,0.09020310633213846
15,coex_THY,24,23,-0.17100292938637107
16,coex_PNC,25,27,-0.11274509803921573
17,coex_ATC,28,31,0.11307896586737476
18,coex_BRO,24,26,-0.09198717948717938
19,coex_SKN,30,27,-0.14511784511784498
20,coex_ADS,26,23,-0.36417490927204144
21,coex_GEJ,18,22,0.14301199595317238
22,coex_BRB,25,29,0.007108753315649974
23,coex_UTR,20,19,0.02466261808367065
24,coex_STM,30,28,-0.05201149425287355
25,coex_HRA,25,23,0.7452173913043478
26,coex_PRS,30,25,0.1749685534591192
27,coex_ATA,20,32,0.2141998734977859
28,coex_FIB,20,16,0.3744517543859651
29,coex_BRC,26,22,-0.28088578088578076
30,coex_ATT,26,25,0.05823529411764694
31,coex_TNV,21,22,-0.2463659147869679
32,coex_SPL,29,24,0.24074224680112777
33,coex_LCL,14,18,0.3886217948717947
34,coex_CLS,26,26,0.3461538461538458
35,coex_EMC,31,24,0.16796003246094537
36,coex_CLT,37,30,0.020384563668145894
37,coex_core,38,31,-0.01541558815070454
38,coex_WBL,21,22,0.0
39,co-essential,7,6,0.24603174603174605
40,GOBP,10,12,0.19444444444444375
41,ppi,50,49,0.04912595341166792
42,reactome_copathway,16,16,-0.3059523809523812
43,MP,12,11,-0.1416666666666666
44,HP,24,31,0.11261158449989872
45,GI_net,14,19,0.15368161783769763
46,gene_gene_on_CbG_name_mapped,16,11,-0.09301346801346799
47,gene_gene_on_GcG_name_mapped,38,26,-0.14252277327935214
48,GOMF,5,3,
