,Layer,Glioma nodes,Colonic_neoplasm nodes,sAB
0,coex_KDN,44,45,-0.19860975841508877
1,coex_BST,39,32,-0.3907295150501673
2,coex_OVR,38,29,0.02165781853281845
3,coex_LNG,36,41,-0.2913455108577061
4,coex_ITI,40,41,-0.2471732911773563
5,coex_VGN,38,39,-0.3620896647212437
6,coex_HRV,18,28,-0.36757703081232496
7,coex_MSG,43,41,-0.3722078167625529
8,coex_ADV,28,27,-0.10511063011063015
9,coex_EMS,36,31,-0.2374331550802138
10,coex_SMU,35,30,-0.2668498168498168
11,coex_ARG,37,34,-0.363999063999064
12,coex_TST,39,44,-0.10855660403853173
13,coex_PIT,43,38,-0.08964972724662634
14,coex_LVR,40,42,-0.21785714285714297
15,coex_THY,35,37,0.11186994782686588
16,coex_PNC,39,36,-0.25369963369963355
17,coex_ATC,41,36,-0.28226232726723555
18,coex_BRO,39,35,-0.1636867636867636
19,coex_SKN,35,36,-0.014285714285714235
20,coex_ADS,30,32,-0.627770935960591
21,coex_GEJ,35,35,-0.07331628303495297
22,coex_BRB,31,30,-0.1414827391058291
23,coex_UTR,30,26,0.1563186813186812
24,coex_STM,35,41,-0.06251604621309381
25,coex_HRA,35,33,-0.087458619811561
26,coex_PRS,39,30,-0.33868450390189486
27,coex_ATA,34,36,-0.09640522875817004
28,coex_FIB,37,34,-0.4255135387488329
29,coex_BRC,40,37,-0.2631098631098632
30,coex_ATT,35,31,0.20245219675959714
31,coex_TNV,19,27,-0.4585326953748008
32,coex_SPL,32,33,-0.07331002331002323
33,coex_LCL,30,30,-0.08205310177840852
34,coex_CLS,38,41,-0.013290659080132716
35,coex_EMC,36,36,-0.2769841269841269
36,coex_CLT,37,37,-0.10932411284523957
37,coex_core,41,43,-0.19056397374604983
38,coex_WBL,38,42,-0.2713345864661656
39,co-essential,14,22,-0.058874458874458746
40,GOBP,10,7,-2.460164835164835
41,ppi,49,50,-0.18266955266955276
42,reactome_copathway,27,35,-0.17348374895544705
43,MP,11,13,-0.5900856389986826
44,HP,20,21,-0.2508241758241758
45,GI_net,26,31,-0.19310850439882676
46,gene_gene_on_CbG_name_mapped,11,19,-0.20622009569377986
47,gene_gene_on_GcG_name_mapped,32,33,-0.33886217948717956
48,GOMF,4,2,
