,Layer,Colon_cancer nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,45,41,-0.5495771670190275
1,coex_BST,32,28,-0.565625
2,coex_OVR,28,32,-0.33240740740740704
3,coex_LNG,41,38,-0.38855397214864884
4,coex_ITI,41,39,-0.5277282676672921
5,coex_VGN,39,33,-0.6308275058275061
6,coex_HRV,28,28,-0.8162901912901914
7,coex_MSG,42,42,-0.33333333333333326
8,coex_ADV,25,28,-0.38617250673854464
9,coex_EMS,33,25,-0.4265021929824562
10,coex_SMU,28,30,-0.6773809523809524
11,coex_ARG,31,29,-0.6104519774011301
12,coex_TST,41,35,-0.29357234549789113
13,coex_PIT,37,38,-0.4102852852852854
14,coex_LVR,40,37,-0.42618901368901385
15,coex_THY,37,32,-0.5697769780650215
16,coex_PNC,34,33,-0.5454545454545454
17,coex_ATC,33,34,-0.5238970588235294
18,coex_BRO,35,32,-0.4781316631130066
19,coex_SKN,37,34,-0.0733193277310924
20,coex_ADS,32,27,-1.0023442404268676
21,coex_GEJ,35,28,-0.5549123008139403
22,coex_BRB,30,27,-0.36900584795321634
23,coex_UTR,28,22,-0.4481292517006803
24,coex_STM,40,41,-0.38161698283649503
25,coex_HRA,33,33,-0.3759469696969697
26,coex_PRS,30,30,-0.6000000000000001
27,coex_ATA,35,29,-0.4647475369458127
28,coex_FIB,33,30,-0.34597701149425286
29,coex_BRC,36,33,-0.5820057189542482
30,coex_ATT,31,31,-0.2992213570634039
31,coex_TNV,27,23,-0.39794200508486277
32,coex_SPL,34,28,-0.11663052317701283
33,coex_LCL,29,20,-0.38284081954294713
34,coex_CLS,41,32,-0.22890313015614927
35,coex_EMC,37,34,-0.4915458937198067
36,coex_CLT,36,36,-0.17984817115251883
37,coex_core,42,40,-0.3430894308943091
38,coex_WBL,42,35,-0.48939393939393927
39,co-essential,17,15,-0.7381410256410257
40,GOBP,9,14,-0.22926634768739973
41,ppi,50,50,-0.24999999999999978
42,reactome_copathway,35,28,-0.06488846801346804
43,MP,15,16,-0.4907258064516129
44,HP,22,22,-0.2954545454545454
45,GI_net,26,25,-0.3519909502262444
46,gene_gene_on_CbG_name_mapped,18,12,-0.05555555555555558
47,gene_gene_on_GcG_name_mapped,33,39,-0.3730574980574981
48,GOMF,4,4,
