,Layer,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,Macular_degeneration nodes,sAB
0,coex_KDN,36,38,0.009957325746799306
1,coex_BST,21,19,0.07309941520467822
2,coex_OVR,31,33,0.571655208884188
3,coex_LNG,39,27,0.19555882713777484
4,coex_ITI,36,35,0.25336463223787176
5,coex_VGN,36,34,0.10319794584500452
6,coex_HRV,25,24,0.28498299319727893
7,coex_MSG,37,36,-0.013251264963593856
8,coex_ADV,32,22,0.4031460437710441
9,coex_EMS,29,25,0.25270889487870596
10,coex_SMU,28,27,0.07639490139490146
11,coex_ARG,27,26,0.3189207306854369
12,coex_TST,33,34,0.017871870593556327
13,coex_PIT,34,31,0.0682965990366371
14,coex_LVR,35,31,0.065186426476749
15,coex_THY,26,28,0.33104395604395576
16,coex_PNC,26,29,-0.028351934337620843
17,coex_ATC,36,29,0.227926587301587
18,coex_BRO,36,32,-0.0026552287581700362
19,coex_SKN,33,35,0.09466911764705865
20,coex_ADS,28,27,0.23239723239723276
21,coex_GEJ,32,21,0.16312499999999996
22,coex_BRB,25,29,0.1693742017879949
23,coex_UTR,21,24,0.558730158730159
24,coex_STM,33,33,0.21212121212121215
25,coex_HRA,32,34,0.40065683841774935
26,coex_PRS,31,31,0.6129032258064515
27,coex_ATA,30,30,0.4333333333333331
28,coex_FIB,23,27,0.3588405797101448
29,coex_BRC,30,31,0.018334244578093184
30,coex_ATT,30,30,0.3374439898694721
31,coex_TNV,25,28,0.04148459383753522
32,coex_SPL,33,33,-0.045454545454545414
33,coex_LCL,20,14,0.27478991596638647
34,coex_CLS,33,33,0.36363636363636376
35,coex_EMC,34,30,0.22444852941176485
36,coex_CLT,30,35,0.17307692307692313
37,coex_core,41,37,0.15438703243581275
38,coex_WBL,32,30,0.3906586021505376
39,co-essential,10,4,0.4071428571428566
40,GOBP,17,27,0.5555555555555554
41,ppi,49,50,0.05021851164708302
42,reactome_copathway,11,10,0.29444444444444473
43,MP,13,18,1.9255820807544946
44,HP,13,30,0.8165772212283839
45,GI_net,18,10,0.26428571428571423
46,gene_gene_on_CbG_name_mapped,8,8,-0.0625
47,gene_gene_on_GcG_name_mapped,32,36,-0.026756535947712434
48,GOMF,5,5,
