,Layer,Inflammatory_bowel_disease nodes,Respiratory_insufficiency nodes,sAB
0,coex_KDN,40,42,0.36306625863587905
1,coex_BST,22,34,0.4311249752426223
2,coex_OVR,30,34,0.48251754065108243
3,coex_LNG,39,37,0.6024364445417074
4,coex_ITI,41,39,0.31000625390869296
5,coex_VGN,27,39,0.2718207718207717
6,coex_HRV,28,19,0.7902335626299792
7,coex_MSG,39,43,0.36332300711200305
8,coex_ADV,32,33,0.9394813519813519
9,coex_EMS,25,33,0.06355218855218858
10,coex_SMU,26,41,0.31271176948279233
11,coex_ARG,25,36,0.4556375227686702
12,coex_TST,31,40,0.1613982280781463
13,coex_PIT,32,38,0.271935975984843
14,coex_LVR,36,39,0.5131381381381384
15,coex_THY,31,37,0.8768157735899673
16,coex_PNC,28,35,0.5174166440769858
17,coex_ATC,36,35,0.6893974960876368
18,coex_BRO,32,35,0.5392790511727079
19,coex_SKN,27,37,0.22674287190416198
20,coex_ADS,32,29,1.0092364532019702
21,coex_GEJ,31,30,0.5499999999999998
22,coex_BRB,26,18,0.31021756021756053
23,coex_UTR,19,32,0.5901321964956194
24,coex_STM,35,36,0.3085121842164096
25,coex_HRA,31,37,0.6929292929292932
26,coex_PRS,31,38,0.4550051599587204
27,coex_ATA,33,31,1.0111803519061584
28,coex_FIB,17,30,0.4610137672090113
29,coex_BRC,29,37,0.4359975739286084
30,coex_ATT,26,40,0.5990058670143412
31,coex_TNV,26,18,1.1962669683257916
32,coex_SPL,29,34,0.43883843860124694
33,coex_LCL,27,28,0.26923076923076916
34,coex_CLS,32,38,-0.04904758130564568
35,coex_EMC,33,36,0.5896388592750532
36,coex_CLT,33,40,0.45381944444444455
37,coex_core,41,41,0.8414634146341466
38,coex_WBL,39,36,0.5004273504273504
39,co-essential,7,13,0.1217948717948718
40,GOBP,18,20,1.0778514588859416
41,ppi,49,50,0.13267367553081844
42,reactome_copathway,19,7,1.0369318181818183
43,MP,15,13,1.064814814814814
44,HP,23,31,0.9810399459768324
45,GI_net,25,17,0.41170492587278806
46,gene_gene_on_CbG_name_mapped,8,12,0.3958333333333335
47,gene_gene_on_GcG_name_mapped,33,41,-0.032700105870837604
48,GOMF,8,6,
