,Layer,Bronchiectasis nodes,Cholestanol_storage_disease nodes,sAB
0,coex_KDN,38,41,0.13276879130537655
1,coex_BST,26,24,0.14326923076923093
2,coex_OVR,23,27,0.31433381433381413
3,coex_LNG,42,30,0.7107142857142854
4,coex_ITI,31,36,0.16850559032793022
5,coex_VGN,29,30,-0.10596142606662773
6,coex_HRV,24,14,0.34440993788819885
7,coex_MSG,39,32,0.26586764174792354
8,coex_ADV,20,24,0.3594696969696973
9,coex_EMS,28,27,-0.0769230769230771
10,coex_SMU,27,22,0.22113997113997108
11,coex_ARG,22,26,0.38150870406189563
12,coex_TST,38,29,0.07767424221903174
13,coex_PIT,36,28,0.603174603174603
14,coex_LVR,29,34,0.5201680672268909
15,coex_THY,31,21,0.6274220032840723
16,coex_PNC,31,30,0.4166666666666665
17,coex_ATC,28,26,0.5186202686202688
18,coex_BRO,37,27,0.5441066066066065
19,coex_SKN,26,28,0.1289173789173792
20,coex_ADS,26,21,0.3562855584132181
21,coex_GEJ,28,26,0.18690476190476213
22,coex_BRB,32,14,0.4754464285714286
23,coex_UTR,20,24,0.17727272727272725
24,coex_STM,35,33,0.1654570919276801
25,coex_HRA,27,26,0.22076923076923105
26,coex_PRS,30,27,0.25787545787545785
27,coex_ATA,28,19,0.5774276115821473
28,coex_FIB,22,22,-0.022727272727272485
29,coex_BRC,23,28,-0.1492814517111194
30,coex_ATT,31,23,0.37166993426363737
31,coex_TNV,17,19,0.32390704584040764
32,coex_SPL,27,28,0.36304713804713806
33,coex_LCL,26,15,0.37145748987854255
34,coex_CLS,34,37,0.11102141102141116
35,coex_EMC,34,29,0.1289445682173378
36,coex_CLT,30,36,0.018939393939394034
37,coex_core,38,31,0.28067556952081674
38,coex_WBL,30,24,0.6863478638039471
39,co-essential,4,12,1.3452380952380958
40,GOBP,29,16,0.6203007518796992
41,ppi,49,48,0.13322068518128893
42,reactome_copathway,18,18,0.6527777777777777
43,MP,16,17,2.0554255793226384
44,HP,34,20,0.4323529411764706
45,GI_net,21,23,0.1609730848861286
46,gene_gene_on_CbG_name_mapped,12,17,-0.16075050709939154
47,gene_gene_on_GcG_name_mapped,35,32,-0.06104077825159915
48,GOMF,7,8,
