,Layer,Keratitis nodes,Leukemia nodes,sAB
0,coex_KDN,39,44,-0.07467632768837573
1,coex_BST,29,31,0.13959955506117927
2,coex_OVR,41,39,0.07596153846153841
3,coex_LNG,35,41,0.35259206121472975
4,coex_ITI,35,42,0.2365811189340601
5,coex_VGN,39,40,0.1153846153846152
6,coex_HRV,20,13,0.36160049627791535
7,coex_MSG,45,41,0.08508854855990422
8,coex_ADV,30,30,0.2333333333333334
9,coex_EMS,31,34,0.2541544477028346
10,coex_SMU,25,34,0.1805184446660022
11,coex_ARG,31,36,0.20115798180314304
12,coex_TST,35,45,0.21170634920634912
13,coex_PIT,37,36,0.220561314739397
14,coex_LVR,32,40,0.23229166666666679
15,coex_THY,24,30,0.3421296296296297
16,coex_PNC,32,33,0.416576479076479
17,coex_ATC,30,39,0.002411021814006986
18,coex_BRO,35,37,0.1181467181467184
19,coex_SKN,37,38,0.35135135135135154
20,coex_ADS,31,30,0.7563218390804596
21,coex_GEJ,40,34,0.3554638540139785
22,coex_BRB,24,18,0.3138623777542122
23,coex_UTR,22,33,-0.012121212121211755
24,coex_STM,33,42,0.08610389610389557
25,coex_HRA,31,32,0.4252688172043009
26,coex_PRS,32,32,0.048387096774193505
27,coex_ATA,29,34,-0.0374658711699869
28,coex_FIB,21,38,0.25353925353925355
29,coex_BRC,27,37,-0.07069569569569589
30,coex_ATT,27,36,0.1201855521527655
31,coex_TNV,21,21,0.9380952380952383
32,coex_SPL,28,43,0.016666666666666607
33,coex_LCL,21,36,0.1593567251461987
34,coex_CLS,30,37,0.053724620142530766
35,coex_EMC,34,40,0.23006535947712425
36,coex_CLT,33,42,0.3106822754710077
37,coex_core,43,40,0.4423952052828022
38,coex_WBL,30,37,0.14963695038321911
39,co-essential,6,24,0.38285024154589387
40,GOBP,20,12,1.231203007518797
41,ppi,50,50,0.20999999999999996
42,reactome_copathway,20,26,0.4560868635002142
43,MP,16,13,1.518333333333333
44,HP,33,32,0.4841611681329423
45,GI_net,25,35,0.30113636363636354
46,gene_gene_on_CbG_name_mapped,6,13,0.06747638326585692
47,gene_gene_on_GcG_name_mapped,30,39,0.04230769230769238
48,GOMF,2,2,
