,Layer,Colon_cancer nodes,Testicular_neoplasm nodes,sAB
0,coex_KDN,45,41,0.1424778938369886
1,coex_BST,32,32,0.265625
2,coex_OVR,28,35,0.12285372930534244
3,coex_LNG,41,41,0.5609756097560976
4,coex_ITI,41,36,0.3209050434660192
5,coex_VGN,39,42,0.15374440374440357
6,coex_HRV,28,15,0.1455597248280176
7,coex_MSG,42,41,0.19312091571862355
8,coex_ADV,25,36,0.5623770491803279
9,coex_EMS,33,40,0.6170943932827733
10,coex_SMU,28,33,0.18678589170392446
11,coex_ARG,31,35,0.38589743589743586
12,coex_TST,41,43,0.1799894660076169
13,coex_PIT,37,35,0.39430501930501927
14,coex_LVR,40,34,0.287420508744038
15,coex_THY,37,32,0.4612431928196856
16,coex_PNC,34,33,0.16666666666666652
17,coex_ATC,33,39,0.2881787330316743
18,coex_BRO,35,34,0.24071810542398797
19,coex_SKN,37,41,0.5991843522331326
20,coex_ADS,32,32,0.848790322580645
21,coex_GEJ,35,42,0.9454862210959771
22,coex_BRB,30,12,0.3285714285714283
23,coex_UTR,28,41,0.3120574350904797
24,coex_STM,40,36,0.20628654970760252
25,coex_HRA,33,34,0.44609173384414835
26,coex_PRS,30,35,0.37454212454212454
27,coex_ATA,35,30,0.6579365079365083
28,coex_FIB,33,33,0.10606060606060619
29,coex_BRC,36,34,0.2984827264239027
30,coex_ATT,31,35,0.4688684075780847
31,coex_TNV,27,21,0.43121693121693117
32,coex_SPL,34,34,-0.02941176470588225
33,coex_LCL,29,31,0.3699583899806371
34,coex_CLS,41,36,0.40706495969653855
35,coex_EMC,37,38,0.2149122807017545
36,coex_CLT,36,38,0.23204633204633196
37,coex_core,42,41,0.7120677833284357
38,coex_WBL,42,32,0.4938666344916345
39,co-essential,17,20,0.3541666666666665
40,GOBP,9,17,1.2023809523809517
41,ppi,50,49,0.14128427128427123
42,reactome_copathway,35,22,0.38115530303030276
43,MP,15,10,1.3738095238095238
44,HP,22,23,-0.06747913921826965
45,GI_net,26,27,-0.0530769230769228
46,gene_gene_on_CbG_name_mapped,18,11,0.24695228143504
47,gene_gene_on_GcG_name_mapped,33,36,0.08871321914800157
48,GOMF,4,3,
