,Layer,Rhabdomyosarcoma nodes,Neoplasm_of_uterus nodes,sAB
0,coex_KDN,43,49,-0.061486132914704505
1,coex_BST,32,37,0.03841222626801377
2,coex_OVR,36,38,0.0682195353247983
3,coex_LNG,35,43,0.26786779112360515
4,coex_ITI,41,45,-0.0712295960168905
5,coex_VGN,37,39,0.20761753656490511
6,coex_HRV,20,29,0.11644968332160444
7,coex_MSG,43,46,0.044594471773781175
8,coex_ADV,29,31,0.11214312198739318
9,coex_EMS,35,43,-0.03287287987410359
10,coex_SMU,35,35,0.0714285714285714
11,coex_ARG,31,34,-0.016063348416289536
12,coex_TST,44,46,0.06291172595520433
13,coex_PIT,36,40,0.029532163742690187
14,coex_LVR,36,38,-0.042931088983720445
15,coex_THY,31,35,0.5224510368663595
16,coex_PNC,30,42,0.08819420588572102
17,coex_ATC,37,36,0.22239382239382266
18,coex_BRO,32,40,0.265625
19,coex_SKN,39,43,0.0551485551485551
20,coex_ADS,24,32,0.46906887755102034
21,coex_GEJ,33,42,0.08792207792207796
22,coex_BRB,17,33,-0.1412462218088817
23,coex_UTR,30,36,0.07118055555555536
24,coex_STM,39,44,0.054606538040272934
25,coex_HRA,35,38,0.08378308785662791
26,coex_PRS,35,40,0.14369047619047604
27,coex_ATA,28,39,0.31846509971509995
28,coex_FIB,35,36,0.06015406162464987
29,coex_BRC,37,42,0.3530219780219781
30,coex_ATT,35,39,0.313414138678223
31,coex_TNV,20,25,0.2935839598997494
32,coex_SPL,35,38,-0.03104336182923051
33,coex_LCL,32,29,0.11867146405610751
34,coex_CLS,38,46,0.07319930260433694
35,coex_EMC,36,43,0.21676397474896159
36,coex_CLT,41,45,0.07052372849309885
37,coex_core,42,43,0.08033027164354123
38,coex_WBL,36,41,0.2873538011695904
39,co-essential,20,17,0.38819073083778965
40,GOBP,18,15,0.49848739495798355
41,ppi,50,50,0.09999999999999987
42,reactome_copathway,19,24,0.45577485380116967
43,MP,14,14,0.8668131868131872
44,HP,26,27,0.17635327635327624
45,GI_net,29,28,0.12599386397027046
46,gene_gene_on_CbG_name_mapped,9,10,-0.05146198830409365
47,gene_gene_on_GcG_name_mapped,32,37,-0.08625269291030158
48,GOMF,2,4,
