,Layer,Primary_dilated_cardiomyopathy nodes,Myelodysplastic_syndrome nodes,sAB
0,coex_KDN,31,45,0.22267025089605763
1,coex_BST,21,38,0.14282296650717696
2,coex_OVR,24,39,-0.009081196581196327
3,coex_LNG,25,44,0.21317523056653487
4,coex_ITI,27,45,0.03981481481481497
5,coex_VGN,28,43,0.13181551690443616
6,coex_HRV,40,22,0.5257697947214077
7,coex_MSG,44,44,0.43181818181818166
8,coex_ADV,20,37,0.14841269841269833
9,coex_EMS,34,39,0.4034690799396685
10,coex_SMU,36,34,0.6980859010270772
11,coex_ARG,21,35,0.21331168831168856
12,coex_TST,30,45,0.0277777777777779
13,coex_PIT,26,36,0.08846843121036674
14,coex_LVR,18,41,0.09765284093518911
15,coex_THY,31,33,0.6743951612903225
16,coex_PNC,16,36,0.3769607843137255
17,coex_ATC,38,41,0.9830076855108945
18,coex_BRO,27,39,0.3514633514633516
19,coex_SKN,24,42,0.1969512195121954
20,coex_ADS,21,29,0.5353448275862069
21,coex_GEJ,24,40,0.25286885245901614
22,coex_BRB,21,21,0.2913763066202093
23,coex_UTR,22,37,0.1643217893217892
24,coex_STM,29,43,0.22457230686982066
25,coex_HRA,43,39,0.4713760067697237
26,coex_PRS,43,42,0.42271513256465365
27,coex_ATA,19,32,0.28007288441692424
28,coex_FIB,17,41,0.1892593875228814
29,coex_BRC,30,36,0.04030054644808745
30,coex_ATT,29,41,0.38871348012519125
31,coex_TNV,26,19,0.7929292929292928
32,coex_SPL,23,42,0.20566172957477313
33,coex_LCL,24,38,0.15902813190549048
34,coex_CLS,28,40,0.39039351851851833
35,coex_EMC,19,44,0.19576045180014123
36,coex_CLT,24,44,0.24242424242424243
37,coex_core,41,47,0.7993200673694716
38,coex_WBL,34,41,1.1496692172804082
39,co-essential,11,25,0.8150505050505048
40,GOBP,23,15,2.262039312039312
41,ppi,49,50,0.36392084106369804
42,reactome_copathway,17,25,0.6411199095022624
43,MP,25,11,1.8225252525252529
44,HP,38,32,0.3524090557275541
45,GI_net,17,37,-0.0028127675186497836
46,gene_gene_on_CbG_name_mapped,11,7,0.40548340548340556
47,gene_gene_on_GcG_name_mapped,27,38,0.14613885140200944
48,GOMF,2,3,
