,Layer,Peripheral_vascular_disease nodes,Cardiomyopathy nodes,sAB
0,coex_KDN,35,32,0.21636904761904785
1,coex_BST,22,20,0.7882775119617222
2,coex_OVR,18,26,0.14095548774071354
3,coex_LNG,28,21,0.8255981607045437
4,coex_ITI,33,30,0.6191919191919193
5,coex_VGN,27,30,0.40755857898715053
6,coex_HRV,23,41,0.9041635870904163
7,coex_MSG,32,45,0.58444715007215
8,coex_ADV,29,17,0.9773978556940017
9,coex_EMS,15,33,0.5802696078431375
10,coex_SMU,18,32,1.2893907563025209
11,coex_ARG,15,19,-0.11381903033445706
12,coex_TST,22,31,0.19257585732240123
13,coex_PIT,28,20,0.24394409937888195
14,coex_LVR,45,19,0.2744334795321639
15,coex_THY,21,31,0.7590225563909776
16,coex_PNC,29,16,0.9172413793103447
17,coex_ATC,23,38,1.0936620775030947
18,coex_BRO,19,20,0.20904183535762488
19,coex_SKN,27,24,0.5411741528762803
20,coex_ADS,22,23,0.8181818181818179
21,coex_GEJ,30,21,0.5544387380777693
22,coex_BRB,17,20,0.2462241653418129
23,coex_UTR,6,18,0.48611111111111116
24,coex_STM,27,29,0.47267834336799863
25,coex_HRA,27,42,0.6405529953917051
26,coex_PRS,22,42,0.9411744169808685
27,coex_ATA,31,19,0.6431690929451288
28,coex_FIB,15,11,0.1566433566433565
29,coex_BRC,19,25,0.5911237553342819
30,coex_ATT,24,27,0.3801472279733149
31,coex_TNV,24,28,1.4633616870458974
32,coex_SPL,30,24,0.2055555555555557
33,coex_LCL,11,15,0.3500000000000001
34,coex_CLS,29,26,1.0897988505747127
35,coex_EMC,23,23,0.497929606625259
36,coex_CLT,24,26,0.698658649398705
37,coex_core,36,42,1.5298753304138557
38,coex_WBL,30,29,0.7681444991789819
39,co-essential,8,5,-0.2809523809523804
40,GOBP,13,29,1.7763746505125817
41,ppi,50,49,0.3547103689960833
42,reactome_copathway,23,10,0.5184407796101949
43,MP,19,31,1.1877880184331797
44,HP,19,39,1.0946996137558749
45,GI_net,13,12,-0.3850461133069829
46,gene_gene_on_CbG_name_mapped,20,5,0.21500000000000008
47,gene_gene_on_GcG_name_mapped,28,32,-0.043898809523809534
48,GOMF,2,4,
