,Layer,Respiratory_insufficiency nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,42,45,-0.06605975723622781
1,coex_BST,34,38,0.3939628482972135
2,coex_OVR,34,41,0.07386352469487623
3,coex_LNG,37,40,0.0911196911196912
4,coex_ITI,39,47,0.01784468211979351
5,coex_VGN,39,46,0.16564692766738798
6,coex_HRV,19,20,-0.0515519568151146
7,coex_MSG,43,42,0.08242134062927486
8,coex_ADV,33,38,0.35418425743503157
9,coex_EMS,33,42,0.11332667103879768
10,coex_SMU,41,41,0.060975609756097615
11,coex_ARG,36,45,0.07808641975308639
12,coex_TST,40,49,-0.03961534051822979
13,coex_PIT,38,41,0.13654717992882803
14,coex_LVR,39,41,0.1684933621488114
15,coex_THY,37,33,0.615197965944235
16,coex_PNC,35,42,0.0748542660307363
17,coex_ATC,35,43,0.12862254025044728
18,coex_BRO,35,43,-0.026267995570321112
19,coex_SKN,37,42,0.2816777816777818
20,coex_ADS,29,24,0.7087706146926536
21,coex_GEJ,30,44,0.05424718855770272
22,coex_BRB,18,19,0.027777777777778123
23,coex_UTR,32,36,0.009627525252525304
24,coex_STM,36,45,0.008333333333333304
25,coex_HRA,37,43,-0.018267752592156628
26,coex_PRS,38,39,0.2054831133778503
27,coex_ATA,31,34,0.3478280791788855
28,coex_FIB,30,38,0.3566563467492261
29,coex_BRC,37,42,0.02487638013953819
30,coex_ATT,40,40,0.2203947368421053
31,coex_TNV,18,11,0.9749732620320857
32,coex_SPL,34,41,0.13818747010999521
33,coex_LCL,28,38,0.043890043890043806
34,coex_CLS,38,45,0.06473302570863537
35,coex_EMC,36,38,0.33225872901431663
36,coex_CLT,40,47,0.046062606994375255
37,coex_core,41,46,0.2852841871747054
38,coex_WBL,36,41,0.3639443212613944
39,co-essential,13,14,0.6185897435897434
40,GOBP,20,18,0.33484848484848495
41,ppi,50,50,0.04999999999999982
42,reactome_copathway,7,12,0.5636363636363635
43,MP,13,16,0.6033333333333326
44,HP,31,33,0.18224584555229706
45,GI_net,17,25,-0.015966386554622236
46,gene_gene_on_CbG_name_mapped,12,11,-0.128129117259552
47,gene_gene_on_GcG_name_mapped,41,32,0.06842528399599068
48,GOMF,6,6,
