,Layer,Chorea nodes,Nasal_polyposis nodes,sAB
0,coex_KDN,42,35,0.013419913419913554
1,coex_BST,40,22,0.145261941448382
2,coex_OVR,37,22,0.34664556698455007
3,coex_LNG,40,35,0.6544047619047619
4,coex_ITI,45,28,0.44306370950206553
5,coex_VGN,41,25,0.3577679231337767
6,coex_HRV,19,20,0.3717611336032385
7,coex_MSG,44,28,0.06331168831168821
8,coex_ADV,33,17,0.17233511586452765
9,coex_EMS,40,19,0.45871989295272053
10,coex_SMU,37,21,0.10060799715972113
11,coex_ARG,38,18,0.4611250657164554
12,coex_TST,47,34,0.17725088459339622
13,coex_PIT,45,32,0.2092893217893217
14,coex_LVR,33,22,0.24848484848484853
15,coex_THY,37,21,0.5144110275689222
16,coex_PNC,36,24,0.26317049808429127
17,coex_ATC,38,21,0.04019582855443682
18,coex_BRO,42,32,0.30485842985843004
19,coex_SKN,41,23,0.07656747083775173
20,coex_ADS,33,17,0.5008137642408741
21,coex_GEJ,44,22,0.4389204545454546
22,coex_BRB,26,27,0.37276245766811833
23,coex_UTR,31,14,-0.06085509472606265
24,coex_STM,43,24,0.03188273747541359
25,coex_HRA,40,22,0.42118768328445766
26,coex_PRS,39,26,0.602481389578164
27,coex_ATA,36,19,0.2916932482721952
28,coex_FIB,27,18,0.30925925925925934
29,coex_BRC,44,19,0.1704165717323609
30,coex_ATT,39,16,0.5588723776223778
31,coex_TNV,21,15,0.784126984126984
32,coex_SPL,35,25,0.16571428571428592
33,coex_LCL,26,13,-0.12113360323886635
34,coex_CLS,39,24,0.35920329670329654
35,coex_EMC,39,25,0.0831891025641025
36,coex_CLT,42,25,0.29242359630419346
37,coex_core,43,27,0.3997498120349485
38,coex_WBL,35,27,-0.05604816639299415
39,co-essential,13,4,-0.4869909502262444
40,GOBP,23,28,1.293676122931442
41,ppi,50,47,0.12149374862908524
42,reactome_copathway,16,12,0.4545454545454546
43,MP,17,17,2.6080102495543667
44,HP,26,26,0.75
45,GI_net,21,17,0.4961309523809523
46,gene_gene_on_CbG_name_mapped,8,8,0.125
47,gene_gene_on_GcG_name_mapped,38,24,0.07258064516129026
48,GOMF,3,6,
