,Layer,Thrombophilia nodes,Stroke_disorder nodes,sAB
0,coex_KDN,40,42,-0.22050963565191206
1,coex_BST,22,21,-0.0677287828450619
2,coex_OVR,21,28,0.039021164021163735
3,coex_LNG,27,37,0.13538538538538525
4,coex_ITI,25,37,-0.06564952048823014
5,coex_VGN,30,30,-0.21666666666666679
6,coex_HRV,24,29,0.0373969854695293
7,coex_MSG,33,38,-0.21634993373318068
8,coex_ADV,22,28,0.02928571428571436
9,coex_EMS,22,22,0.27272727272727293
10,coex_SMU,23,24,0.40652944804193636
11,coex_ARG,17,22,-0.3285984848484853
12,coex_TST,30,32,-0.13440860215053752
13,coex_PIT,29,34,-0.10523519752728694
14,coex_LVR,42,40,-0.29298780487804876
15,coex_THY,23,27,0.3263258480649789
16,coex_PNC,29,28,0.12314190649036405
17,coex_ATC,23,31,0.0900992156251621
18,coex_BRO,28,33,0.061049606131573286
19,coex_SKN,29,31,-0.15308786284823683
20,coex_ADS,25,31,0.2197695852534567
21,coex_GEJ,22,32,0.006463206098020535
22,coex_BRB,21,29,-0.17353037766830903
23,coex_UTR,10,15,1.5047619047619047
24,coex_STM,29,34,0.065600953024888
25,coex_HRA,23,30,-0.05969498910675419
26,coex_PRS,25,31,-0.05757575757575806
27,coex_ATA,26,32,-0.0860825596816972
28,coex_FIB,18,20,0.2465600275197799
29,coex_BRC,24,31,0.103327808236644
30,coex_ATT,30,32,-0.23123938879456718
31,coex_TNV,25,28,-0.0036538461538464517
32,coex_SPL,39,31,-0.19510141599693864
33,coex_LCL,11,8,-0.40416666666666634
34,coex_CLS,23,30,0.2778471528471531
35,coex_EMC,29,30,-0.31034482758620663
36,coex_CLT,26,27,-0.01888136322098566
37,coex_core,32,39,0.05578007518796979
38,coex_WBL,31,32,-0.2546963005632361
39,co-essential,8,7,1.888690476190476
40,GOBP,24,16,-0.2010135135135136
41,ppi,49,49,-0.22448979591836737
42,reactome_copathway,24,25,-0.12499999999999978
43,MP,15,18,-0.5274509803921572
44,HP,31,20,-0.1771889400921658
45,GI_net,17,13,-0.2276018099547512
46,gene_gene_on_CbG_name_mapped,22,16,-0.0017942583732057926
47,gene_gene_on_GcG_name_mapped,26,30,-0.34084249084249074
48,GOMF,4,5,
