,Layer,Uterine_leiomyoma nodes,Metrorrhagia nodes,sAB
0,coex_KDN,45,48,0.007773297491039388
1,coex_BST,38,40,-0.0011655011655009595
2,coex_OVR,34,41,0.1798373983739836
3,coex_LNG,40,46,0.45299544994944396
4,coex_ITI,43,47,0.2646654571444278
5,coex_VGN,36,45,0.04043209876543208
6,coex_HRV,26,28,0.2843406593406592
7,coex_MSG,45,47,0.042990029807790986
8,coex_ADV,30,37,0.01045448433508156
9,coex_EMS,35,44,0.3216792700969915
10,coex_SMU,32,42,0.44303008365508356
11,coex_ARG,34,41,0.04733142037302729
12,coex_TST,46,48,0.2107423681776135
13,coex_PIT,36,46,0.1735301048662663
14,coex_LVR,35,38,0.23987022350396536
15,coex_THY,38,38,0.19736842105263142
16,coex_PNC,35,42,0.18914934394810512
17,coex_ATC,38,44,0.31396604037810727
18,coex_BRO,36,45,0.15064935064935092
19,coex_SKN,40,44,0.23587662337662318
20,coex_ADS,30,34,0.12294805676340692
21,coex_GEJ,35,43,0.19559587699122583
22,coex_BRB,24,28,0.6666666666666665
23,coex_UTR,34,36,0.11806722689075633
24,coex_STM,40,43,0.2875595404875315
25,coex_HRA,33,42,0.24337662337662325
26,coex_PRS,37,45,0.09346059346059343
27,coex_ATA,35,42,0.5670754788401848
28,coex_FIB,33,42,-0.09029983420227317
29,coex_BRC,34,40,0.10947933227344997
30,coex_ATT,36,41,0.4556267068462194
31,coex_TNV,26,21,0.9214285714285713
32,coex_SPL,32,41,-0.02149807885065158
33,coex_LCL,18,39,0.426169590643275
34,coex_CLS,40,41,0.16068202348690153
35,coex_EMC,38,41,-0.021879722461448425
36,coex_CLT,42,44,0.23575988534948866
37,coex_core,40,46,0.3191734074823054
38,coex_WBL,32,44,-0.035959928229665206
39,co-essential,10,24,0.9629032258064516
40,GOBP,20,14,-0.4964985994397759
41,ppi,49,50,0.059948464234178545
42,reactome_copathway,23,17,0.569479965899403
43,MP,9,9,1.6
44,HP,21,18,0.18894993894993894
45,GI_net,19,33,0.13319143446852433
46,gene_gene_on_CbG_name_mapped,5,7,0.24047619047619073
47,gene_gene_on_GcG_name_mapped,32,34,-0.014065285204991174
48,GOMF,5,2,
