,Layer,Macular_degeneration nodes,Cancer_of_the_pancreas nodes,sAB
0,coex_KDN,38,44,0.2623570122550132
1,coex_BST,19,32,0.13326388888888863
2,coex_OVR,33,31,0.18333333333333313
3,coex_LNG,27,41,0.35361305361305373
4,coex_ITI,35,44,0.2058437686344663
5,coex_VGN,34,36,0.27859477124182996
6,coex_HRV,24,27,0.5791122004357296
7,coex_MSG,36,42,0.10027472527472536
8,coex_ADV,22,29,0.5138146167557935
9,coex_EMS,25,31,0.1830303030303031
10,coex_SMU,27,35,0.06565966888547536
11,coex_ARG,26,32,-0.15179336792240017
12,coex_TST,34,43,-0.06095101888535526
13,coex_PIT,31,39,-0.20216235377525704
14,coex_LVR,31,39,0.1279569892473118
15,coex_THY,28,32,0.3041871921182264
16,coex_PNC,29,37,0.16023810239605574
17,coex_ATC,29,36,0.10973748473748479
18,coex_BRO,32,36,-0.03451797385620914
19,coex_SKN,35,34,0.11764705882352944
20,coex_ADS,27,31,0.21245265769883748
21,coex_GEJ,21,34,0.11187499999999995
22,coex_BRB,29,24,-0.03963348514422016
23,coex_UTR,24,22,0.4568511198945977
24,coex_STM,33,39,0.1275252525252526
25,coex_HRA,34,31,0.4504382398120541
26,coex_PRS,31,34,0.1598972922502333
27,coex_ATA,30,32,0.1431451612903225
28,coex_FIB,27,36,0.019723502304147322
29,coex_BRC,31,33,0.011241446725317683
30,coex_ATT,30,30,0.28614640048396867
31,coex_TNV,28,21,0.43693009118541015
32,coex_SPL,33,33,0.2272727272727273
33,coex_LCL,14,29,0.482142857142857
34,coex_CLS,33,38,0.5216673893144481
35,coex_EMC,30,34,0.14927849927849923
36,coex_CLT,35,37,0.14478764478764483
37,coex_core,37,45,0.14977477477477485
38,coex_WBL,30,36,-0.09949494949494953
39,co-essential,4,18,0.4852941176470589
40,GOBP,27,7,0.6033333333333326
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,10,37,-0.23582729070533937
43,MP,18,10,2.3888888888888893
44,HP,30,22,1.0012820512820513
45,GI_net,10,38,0.3330330330330331
46,gene_gene_on_CbG_name_mapped,8,17,-0.013970588235294068
47,gene_gene_on_GcG_name_mapped,36,39,-0.0017094017094017033
48,GOMF,5,2,
