,Layer,Status_epilepticus nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,39,40,0.16420377867746305
1,coex_BST,29,31,0.5923248053392656
2,coex_OVR,23,36,0.004832810867293702
3,coex_LNG,32,37,0.398697610654132
4,coex_ITI,32,40,0.18541666666666679
5,coex_VGN,27,33,0.16962980522302562
6,coex_HRV,26,24,0.21314102564102555
7,coex_MSG,36,40,0.256578947368421
8,coex_ADV,22,28,0.2812337662337665
9,coex_EMS,23,30,0.6363549357396774
10,coex_SMU,25,30,-0.08787878787878789
11,coex_ARG,25,28,0.25686813186813184
12,coex_TST,33,36,0.3405510327152117
13,coex_PIT,38,32,0.28606672932330834
14,coex_LVR,35,35,0.1579831932773108
15,coex_THY,32,31,0.5654002511898466
16,coex_PNC,25,29,0.16630906768837805
17,coex_ATC,27,36,0.34788359788359813
18,coex_BRO,37,36,0.05462483030976184
19,coex_SKN,26,35,0.3259412718429111
20,coex_ADS,28,33,1.0391561989922646
21,coex_GEJ,24,32,0.9065456758700825
22,coex_BRB,31,27,0.30206402175256475
23,coex_UTR,21,21,-0.03318815331010461
24,coex_STM,34,37,0.25335318748740443
25,coex_HRA,30,32,0.3520161290322581
26,coex_PRS,20,33,-0.029382897803950314
27,coex_ATA,28,30,0.4821428571428572
28,coex_FIB,20,26,0.2281772575250831
29,coex_BRC,37,34,0.39213260485008616
30,coex_ATT,26,32,0.08647042815674899
31,coex_TNV,28,21,0.4458333333333333
32,coex_SPL,24,36,-0.018055555555555713
33,coex_LCL,17,24,0.09634238310708909
34,coex_CLS,28,32,0.316907894736842
35,coex_EMC,25,30,0.027314814814814792
36,coex_CLT,28,34,0.19344673353212238
37,coex_core,38,39,0.4118065433854907
38,coex_WBL,34,34,0.32352941176470607
39,co-essential,9,6,-0.026785714285714413
40,GOBP,14,24,1.1357142857142857
41,ppi,50,50,0.25
42,reactome_copathway,19,12,0.6889952153110048
43,MP,12,14,1.4962566844919785
44,HP,18,27,0.16111111111111098
45,GI_net,20,13,0.20626550868486326
46,gene_gene_on_CbG_name_mapped,21,11,0.24742965367965364
47,gene_gene_on_GcG_name_mapped,32,30,-0.04973118279569877
48,GOMF,4,7,
