,Layer,Postherpetic_neuralgia nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,37,42,0.3004781454148544
1,coex_BST,14,34,0.589160839160839
2,coex_OVR,19,35,0.2220426632191339
3,coex_LNG,26,41,0.37236554096310215
4,coex_ITI,31,39,0.4561148528890464
5,coex_VGN,25,38,0.123859649122807
6,coex_HRV,17,14,0.3499593385741395
7,coex_MSG,23,37,0.22491186839012922
8,coex_ADV,24,35,0.5116239892183287
9,coex_EMS,16,36,0.03552350427350426
10,coex_SMU,17,36,0.5284252065606119
11,coex_ARG,11,38,0.16119031344595225
12,coex_TST,27,45,0.11388888888888915
13,coex_PIT,28,41,0.09913901934050373
14,coex_LVR,33,34,0.3863237289488386
15,coex_THY,14,34,0.625637816501396
16,coex_PNC,20,36,0.5202380952380952
17,coex_ATC,13,38,0.06882591093117396
18,coex_BRO,26,46,0.6100706057227798
19,coex_SKN,20,36,0.526923076923077
20,coex_ADS,16,31,0.9733646953405017
21,coex_GEJ,21,36,0.3120370370370371
22,coex_BRB,25,25,0.35749999999999993
23,coex_UTR,12,33,0.16666666666666652
24,coex_STM,22,38,0.25526315789473664
25,coex_HRA,21,35,0.5532330827067671
26,coex_PRS,20,33,0.10739750445632801
27,coex_ATA,18,36,0.22685185185185208
28,coex_FIB,14,32,0.4091614906832297
29,coex_BRC,21,40,0.6011904761904763
30,coex_ATT,16,36,0.5715277777777779
31,coex_TNV,16,22,1.0349376114081994
32,coex_SPL,26,36,0.6508822718500138
33,coex_LCL,11,25,0.373939393939394
34,coex_CLS,27,38,0.20456832044268358
35,coex_EMC,15,36,0.12941176470588234
36,coex_CLT,22,36,0.31561302681992354
37,coex_core,31,39,0.6371794871794874
38,coex_WBL,22,30,1.1850815850815852
39,co-essential,4,7,1.1574675324675328
40,GOBP,26,19,1.5848631239935589
41,ppi,49,49,0.11224489795918369
42,reactome_copathway,23,12,1.2000000000000002
43,MP,12,11,2.368181818181818
44,HP,22,27,0.19136947708376284
45,GI_net,18,16,-0.09913793103448265
46,gene_gene_on_CbG_name_mapped,15,8,0.22409420289855064
47,gene_gene_on_GcG_name_mapped,25,41,-0.014268292682926731
48,GOMF,5,8,
