,Layer,Chorea nodes,Renal_tubular_acidosis nodes,sAB
0,coex_KDN,42,41,0.18905342624854815
1,coex_BST,40,29,0.15980603448275854
2,coex_OVR,37,31,0.0020210826662439008
3,coex_LNG,40,33,0.11838235294117672
4,coex_ITI,45,30,0.25888888888888895
5,coex_VGN,41,28,0.2640572135535022
6,coex_HRV,19,18,0.3867666478023013
7,coex_MSG,44,34,0.11766419854655163
8,coex_ADV,33,29,0.11241269317494385
9,coex_EMS,40,28,0.3994057490326146
10,coex_SMU,37,28,0.13181615681615666
11,coex_ARG,38,33,0.10519266917293213
12,coex_TST,47,33,0.05759187620889761
13,coex_PIT,45,33,0.14351408825093048
14,coex_LVR,33,29,0.19080459770114944
15,coex_THY,37,26,0.11923076923076881
16,coex_PNC,36,26,0.06486076647366978
17,coex_ATC,38,27,-0.14952016794122058
18,coex_BRO,42,28,0.14404761904761898
19,coex_SKN,41,30,0.23209091950074434
20,coex_ADS,33,19,0.7427709590180984
21,coex_GEJ,44,31,0.35941823964313757
22,coex_BRB,26,15,0.08242651657285771
23,coex_UTR,31,24,0.003250244379276568
24,coex_STM,43,29,0.33233092755947613
25,coex_HRA,40,31,0.12405123339658464
26,coex_PRS,39,28,0.2734336558963426
27,coex_ATA,36,29,-0.019235942964756614
28,coex_FIB,27,26,0.11013008654518086
29,coex_BRC,44,30,0.02561425061425071
30,coex_ATT,39,29,0.014861912934934995
31,coex_TNV,21,11,-0.05732198835647129
32,coex_SPL,35,32,0.28813965884861403
33,coex_LCL,26,25,-0.08278911564625835
34,coex_CLS,39,28,0.42490159094636715
35,coex_EMC,39,29,0.15640205565578658
36,coex_CLT,42,30,0.31587301587301586
37,coex_core,43,38,0.24493036488140518
38,coex_WBL,35,36,0.1475829725829727
39,co-essential,13,18,-0.08595257788806165
40,GOBP,23,37,0.7879629629629625
41,ppi,50,49,0.2528777571634715
42,reactome_copathway,16,15,1.1678321678321677
43,MP,17,21,1.7257846320346317
44,HP,26,36,0.47170526606010466
45,GI_net,21,18,0.1904761904761907
46,gene_gene_on_CbG_name_mapped,8,17,0.0829411764705883
47,gene_gene_on_GcG_name_mapped,38,31,0.04055633473585796
48,GOMF,3,13,
