,Layer,Ewing_sarcoma nodes,Diabetes_mellitus_type_1 nodes,sAB
0,coex_KDN,43,39,0.20438646246927572
1,coex_BST,35,16,-0.024037114845938623
2,coex_OVR,37,21,0.09213154040740257
3,coex_LNG,34,24,0.29345582626643374
4,coex_ITI,41,31,0.1604270478188652
5,coex_VGN,38,28,0.22518796992481205
6,coex_HRV,21,17,-0.26704014939309073
7,coex_MSG,38,26,0.014233299595141746
8,coex_ADV,29,22,0.23405922763956521
9,coex_EMS,32,21,0.12054975292003567
10,coex_SMU,37,18,-0.29023307436182044
11,coex_ARG,34,17,-0.039215686274509665
12,coex_TST,43,22,-0.06193690030899335
13,coex_PIT,38,26,0.24255308271701725
14,coex_LVR,38,33,0.3819664397870475
15,coex_THY,43,25,0.1976923076923076
16,coex_PNC,38,26,0.34994939271255054
17,coex_ATC,39,24,0.023933375367801712
18,coex_BRO,37,24,0.2875000000000001
19,coex_SKN,37,21,0.326183326183326
20,coex_ADS,31,23,0.7069532851440283
21,coex_GEJ,31,20,-0.008421052631578885
22,coex_BRB,24,20,0.267020148462354
23,coex_UTR,30,10,-0.02499999999999991
24,coex_STM,40,29,0.3161544227886055
25,coex_HRA,35,19,0.43462184873949594
26,coex_PRS,35,21,0.12110389610389616
27,coex_ATA,34,28,0.0979967948717948
28,coex_FIB,33,8,-0.25082236842105265
29,coex_BRC,38,18,0.48538011695906436
30,coex_ATT,37,26,0.2995238095238095
31,coex_TNV,16,21,0.20000000000000018
32,coex_SPL,36,31,0.36551115390788014
33,coex_LCL,30,11,0.41127819548872147
34,coex_CLS,37,28,-0.033316726865114
35,coex_EMC,35,19,0.1909217488164856
36,coex_CLT,34,24,0.21720494417862835
37,coex_core,42,34,-0.02935741924264157
38,coex_WBL,37,29,0.19730859386031807
39,co-essential,12,8,0.27922077922077904
40,GOBP,10,17,0.3715277777777777
41,ppi,50,49,0.03964131106988256
42,reactome_copathway,20,23,0.10478626233101918
43,MP,10,12,0.2753588516746408
44,HP,23,30,0.4218211648892538
45,GI_net,31,18,0.4797529169526422
46,gene_gene_on_CbG_name_mapped,8,16,-0.09375
47,gene_gene_on_GcG_name_mapped,28,28,-0.03571428571428581
48,GOMF,5,9,-1.5833333333333335
