,Layer,Orthostatic_hypotension nodes,Atonic_seizure nodes,sAB
0,coex_KDN,36,38,0.07057057057057059
1,coex_BST,23,27,0.1376789168278525
2,coex_OVR,28,22,0.18027210884353773
3,coex_LNG,28,24,0.06478937728937728
4,coex_ITI,34,36,0.16512605042016792
5,coex_VGN,33,30,0.12395382395382404
6,coex_HRV,15,20,0.6321428571428571
7,coex_MSG,34,33,0.2530861734110197
8,coex_ADV,22,26,0.6723210831721471
9,coex_EMS,26,21,0.3613708986049411
10,coex_SMU,24,25,0.05471399938328725
11,coex_ARG,28,28,0.3366402116402114
12,coex_TST,36,35,0.1258607198748043
13,coex_PIT,31,38,0.28701471870352346
14,coex_LVR,30,28,0.17089490968801324
15,coex_THY,27,24,0.7684702093397742
16,coex_PNC,28,25,-0.12710242587601073
17,coex_ATC,31,29,0.3162402669632929
18,coex_BRO,32,38,0.016118421052631948
19,coex_SKN,28,26,0.2980769230769229
20,coex_ADS,23,27,1.047000805152979
21,coex_GEJ,28,29,0.15045248868778272
22,coex_BRB,21,31,0.49527354366064014
23,coex_UTR,22,14,-0.010101010101009944
24,coex_STM,32,31,0.3306131592421915
25,coex_HRA,30,29,0.5414929897688519
26,coex_PRS,24,24,0.10416666666666652
27,coex_ATA,26,25,0.3573717948717947
28,coex_FIB,18,20,-0.2065789473684212
29,coex_BRC,26,36,0.19847670250896043
30,coex_ATT,28,23,0.052795031055900665
31,coex_TNV,23,22,1.2927621159328475
32,coex_SPL,29,24,0.18160377358490587
33,coex_LCL,21,21,0.08626373626373596
34,coex_CLS,28,30,0.482142857142857
35,coex_EMC,30,21,-0.1200000000000001
36,coex_CLT,32,34,0.3180147058823528
37,coex_core,33,34,0.552265442890443
38,coex_WBL,28,28,0.19642857142857162
39,co-essential,7,9,-0.32738095238095255
40,GOBP,16,17,1.0657051282051286
41,ppi,50,50,0.06000000000000005
42,reactome_copathway,17,18,0.7680555555555557
43,MP,20,12,0.6400318979266348
44,HP,29,25,0.44178799489144294
45,GI_net,25,18,0.026395663956639837
46,gene_gene_on_CbG_name_mapped,15,22,-0.050696150696150744
47,gene_gene_on_GcG_name_mapped,35,35,0.014943368651808564
48,GOMF,8,7,
