,Layer,Basal_cell_carcinoma nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,44,33,0.20843301435406714
1,coex_BST,41,23,0.2763785790031814
2,coex_OVR,41,35,0.2741151659636898
3,coex_LNG,43,30,0.4467591785502596
4,coex_ITI,44,24,0.42034313725490224
5,coex_VGN,43,41,0.5220741160899984
6,coex_HRV,19,22,1.0719850325113485
7,coex_MSG,45,44,0.5271535580524347
8,coex_ADV,39,17,0.7536630036630036
9,coex_EMS,42,30,0.7142857142857144
10,coex_SMU,39,29,0.581539362277067
11,coex_ARG,39,28,0.3948717948717948
12,coex_TST,46,34,0.2334579316676504
13,coex_PIT,44,29,0.2807433945364979
14,coex_LVR,38,22,0.4893141945773525
15,coex_THY,34,26,0.9561337513061652
16,coex_PNC,40,22,0.28409090909090917
17,coex_ATC,42,18,0.34999999999999987
18,coex_BRO,45,27,0.30147218453188573
19,coex_SKN,43,42,0.5515992443489024
20,coex_ADS,20,38,1.4373481781376518
21,coex_GEJ,39,35,0.8981684981684981
22,coex_BRB,16,20,0.6511904761904761
23,coex_UTR,41,20,0.12882846861255492
24,coex_STM,39,28,0.5266387841014708
25,coex_HRA,42,22,0.1920995670995671
26,coex_PRS,38,26,0.2272899797570851
27,coex_ATA,35,24,0.9121973365617433
28,coex_FIB,41,20,0.12082798459563548
29,coex_BRC,44,30,0.40460879460643273
30,coex_ATT,39,25,0.22314146570439508
31,coex_TNV,14,30,0.7935897435897439
32,coex_SPL,41,23,0.20392033404029686
33,coex_LCL,36,20,0.960185185185185
34,coex_CLS,42,23,0.4108678955453149
35,coex_EMC,43,32,0.48218811459621636
36,coex_CLT,42,23,0.19073100812231258
37,coex_core,42,44,1.0584289741266486
38,coex_WBL,36,26,0.4353115522470359
39,co-essential,15,8,0.22976190476190483
40,GOBP,18,23,3.184363081617086
41,ppi,49,49,0.05102040816326525
42,reactome_copathway,17,10,0.749120160884867
43,MP,10,18,0.43650793650793673
44,HP,21,23,0.7853378505552415
45,GI_net,23,14,-4.1967433271672405e-05
46,gene_gene_on_CbG_name_mapped,7,5,0.4809523809523808
47,gene_gene_on_GcG_name_mapped,31,35,0.10015360983102917
48,GOMF,3,6,
