,Layer,Dermatitis nodes,Keloid nodes,sAB
0,coex_KDN,32,45,-0.042857142857142705
1,coex_BST,19,23,0.2428714504536349
2,coex_OVR,23,30,0.3663248564397046
3,coex_LNG,34,36,0.866677440206852
4,coex_ITI,26,35,0.28936651583710415
5,coex_VGN,23,39,0.13301648770756325
6,coex_HRV,25,31,0.4709916367980884
7,coex_MSG,32,38,0.20246710526315792
8,coex_ADV,22,29,0.49449743213499664
9,coex_EMS,23,29,0.6182608695652174
10,coex_SMU,25,29,0.2789153439153442
11,coex_ARG,23,30,0.23977272727272725
12,coex_TST,30,33,0.2397546897546896
13,coex_PIT,26,34,0.07217194570135743
14,coex_LVR,29,39,0.2099651531700213
15,coex_THY,24,30,0.6148148148148151
16,coex_PNC,22,34,0.42409387997623305
17,coex_ATC,23,25,0.24713768115942036
18,coex_BRO,28,28,0.27342472342472335
19,coex_SKN,29,37,0.2495210727969348
20,coex_ADS,27,37,0.5154529529529528
21,coex_GEJ,27,35,0.7253968253968255
22,coex_BRB,21,20,0.4062427409988385
23,coex_UTR,12,30,0.7858108108108111
24,coex_STM,28,36,0.3142857142857143
25,coex_HRA,23,31,0.3729326513213982
26,coex_PRS,25,30,0.33030303030303054
27,coex_ATA,19,30,0.5623523093447909
28,coex_FIB,17,25,0.14072214251554271
29,coex_BRC,22,26,0.3862179487179489
30,coex_ATT,24,34,0.49358974358974406
31,coex_TNV,23,27,0.29445089072418273
32,coex_SPL,19,37,0.23745173745173753
33,coex_LCL,13,12,0.19480519480519476
34,coex_CLS,25,31,0.5291293559175747
35,coex_EMC,30,32,0.22582497173544347
36,coex_CLT,25,33,0.2089120370370372
37,coex_core,32,43,0.4819928940568474
38,coex_WBL,27,34,0.5207070707070707
39,co-essential,11,5,0.8153846153846156
40,GOBP,19,16,1.9259259259259256
41,ppi,49,47,0.09224833550441436
42,reactome_copathway,25,22,1.6351727982162765
43,MP,15,14,1.173076923076923
44,HP,17,21,0.5441545039068258
45,GI_net,21,12,0.3922077922077918
46,gene_gene_on_CbG_name_mapped,12,7,0.06109022556390986
47,gene_gene_on_GcG_name_mapped,28,29,0.019077867081497057
48,GOMF,6,3,
