,Layer,Ewing_sarcoma nodes,Chorea nodes,sAB
0,coex_KDN,43,42,0.04761253338544691
1,coex_BST,35,40,0.1325396825396825
2,coex_OVR,37,37,0.20270270270270285
3,coex_LNG,34,40,-0.007611287758346297
4,coex_ITI,41,45,0.09760509232999293
5,coex_VGN,38,41,0.18257340634698815
6,coex_HRV,21,19,0.15538847117794496
7,coex_MSG,38,44,0.06968432722604745
8,coex_ADV,29,33,0.24250851114032423
9,coex_EMS,32,40,0.3690972222222224
10,coex_SMU,37,37,0.04128100703443183
11,coex_ARG,34,38,0.23077915376676983
12,coex_TST,43,47,-0.04597284072791252
13,coex_PIT,38,45,0.0802177177177179
14,coex_LVR,38,33,0.07104027674820834
15,coex_THY,43,37,0.25641025641025594
16,coex_PNC,38,36,-0.07175596649280847
17,coex_ATC,39,38,0.01213225371120119
18,coex_BRO,37,42,0.09340659340659307
19,coex_SKN,37,41,0.030204688741274133
20,coex_ADS,31,33,1.0290221458185864
21,coex_GEJ,31,44,0.31242216687422175
22,coex_BRB,24,26,0.31946915249412955
23,coex_UTR,30,31,0.0013749338974089476
24,coex_STM,40,43,0.11911599887923763
25,coex_HRA,35,40,0.1345238095238095
26,coex_PRS,35,39,0.2621027621027623
27,coex_ATA,34,36,0.007863562091503518
28,coex_FIB,33,27,0.19922636452241727
29,coex_BRC,38,44,0.04170556657719704
30,coex_ATT,37,39,0.2131562881562883
31,coex_TNV,16,21,0.09523809523809534
32,coex_SPL,36,35,0.06928236083165662
33,coex_LCL,30,26,0.16964959568733162
34,coex_CLS,37,39,0.1392657840026259
35,coex_EMC,35,39,0.030749430749430706
36,coex_CLT,34,42,0.07385281385281384
37,coex_core,42,43,0.1045633795208385
38,coex_WBL,37,35,0.049420849420849455
39,co-essential,12,13,0.14335664335664333
40,GOBP,10,23,-0.35411877394636004
41,ppi,50,50,0.1200000000000001
42,reactome_copathway,20,16,0.5588235294117647
43,MP,10,17,1.0437500000000002
44,HP,23,26,0.41490341956180443
45,GI_net,31,21,0.21673756351175721
46,gene_gene_on_CbG_name_mapped,8,8,0.0
47,gene_gene_on_GcG_name_mapped,28,38,-0.006493506493506329
48,GOMF,5,3,
