,Layer,Eczematoid_dermatitis nodes,Conjunctivitis nodes,sAB
0,coex_KDN,45,39,-0.01166056166056162
1,coex_BST,18,30,0.4500000000000002
2,coex_OVR,32,37,-0.023566710367083354
3,coex_LNG,42,39,0.13173246506579828
4,coex_ITI,36,39,-0.0007463997190024774
5,coex_VGN,38,35,0.0014264264264263193
6,coex_HRV,26,24,-0.01442307692307665
7,coex_MSG,39,41,-0.04909318323952472
8,coex_ADV,28,30,-0.03214285714285747
9,coex_EMS,33,34,-0.2080905632266472
10,coex_SMU,33,28,-0.14806547619047605
11,coex_ARG,32,33,-0.08455522971652019
12,coex_TST,36,33,-0.15684014053579265
13,coex_PIT,34,35,-0.15893313847278012
14,coex_LVR,32,35,-0.013106343283582067
15,coex_THY,35,35,0.3428571428571425
16,coex_PNC,30,33,0.17914862914862906
17,coex_ATC,35,35,0.030099866033370004
18,coex_BRO,31,33,0.03433528836754629
19,coex_SKN,37,35,0.038416988416988485
20,coex_ADS,35,33,0.07172141583906289
21,coex_GEJ,37,36,-0.1552732309774567
22,coex_BRB,27,23,-0.09597826086956518
23,coex_UTR,20,26,0.35531135531135494
24,coex_STM,32,32,0.04537890424987201
25,coex_HRA,23,30,0.08337595907928375
26,coex_PRS,31,35,-0.1935064935064934
27,coex_ATA,34,35,0.22510822510822548
28,coex_FIB,14,28,0.07142857142857162
29,coex_BRC,21,26,-0.1285363572597613
30,coex_ATT,36,35,0.16776377217553673
31,coex_TNV,27,24,-0.06226190476190485
32,coex_SPL,38,37,-0.07926979611190155
33,coex_LCL,21,27,-0.12941292356185952
34,coex_CLS,29,34,0.11014520750829093
35,coex_EMC,41,36,-0.10111568648154012
36,coex_CLT,34,37,0.12282029929088756
37,coex_core,44,40,0.009090909090909038
38,coex_WBL,39,37,-0.015512820512820547
39,co-essential,4,8,-0.7708333333333335
40,GOBP,13,20,1.7192307692307693
41,ppi,50,49,0.11117295403009675
42,reactome_copathway,23,25,0.16984126984126968
43,MP,13,20,-0.2020833333333334
44,HP,26,33,0.13516850381257162
45,GI_net,22,24,-0.11553030303030276
46,gene_gene_on_CbG_name_mapped,10,14,0.08333333333333326
47,gene_gene_on_GcG_name_mapped,26,34,-0.20482654600301653
48,GOMF,9,4,
