,Layer,Primary_dilated_cardiomyopathy nodes,Erythema_nodosum nodes,sAB
0,coex_KDN,31,36,0.09767025089605763
1,coex_BST,21,27,0.26022267206477734
2,coex_OVR,24,28,0.020375457875458025
3,coex_LNG,25,30,0.2969696969696969
4,coex_ITI,27,37,0.2009353103103102
5,coex_VGN,28,30,0.1932900432900433
6,coex_HRV,40,20,1.8673394290811776
7,coex_MSG,44,34,0.4179521458933224
8,coex_ADV,20,32,0.364859693877551
9,coex_EMS,34,31,0.42289819153467834
10,coex_SMU,36,27,0.43121693121693117
11,coex_ARG,21,25,0.3005555555555559
12,coex_TST,30,33,-0.1647186147186146
13,coex_PIT,26,32,0.08774038461538458
14,coex_LVR,18,28,0.15596963423050392
15,coex_THY,31,25,0.5479622344610546
16,coex_PNC,16,32,0.12061170212765981
17,coex_ATC,38,30,1.0775119617224882
18,coex_BRO,27,29,0.26756066411238844
19,coex_SKN,24,29,0.13915094339622636
20,coex_ADS,21,28,0.6597826086956524
21,coex_GEJ,24,28,0.4795918367346941
22,coex_BRB,21,19,0.264041514041514
23,coex_UTR,22,23,0.3519832880297997
24,coex_STM,29,34,0.41040439164171394
25,coex_HRA,43,28,1.0156228066070845
26,coex_PRS,43,30,0.6418738305265972
27,coex_ATA,19,32,0.1707184914929738
28,coex_FIB,17,25,0.1705882352941177
29,coex_BRC,30,25,0.036666666666666625
30,coex_ATT,29,35,0.5181615391765031
31,coex_TNV,26,20,0.38742690058479523
32,coex_SPL,23,28,0.02219001610305993
33,coex_LCL,24,24,0.3240060712886801
34,coex_CLS,28,31,0.3070151709835218
35,coex_EMC,19,29,0.5313892097013695
36,coex_CLT,24,33,0.19617224880382755
37,coex_core,41,37,1.1983411744520998
38,coex_WBL,34,30,1.428045644487303
39,co-essential,11,5,0.5772727272727272
40,GOBP,23,28,1.7424242424242422
41,ppi,49,47,0.1519575915472573
42,reactome_copathway,17,18,0.7119726678550209
43,MP,25,11,1.4215151515151514
44,HP,38,19,0.9605263157894735
45,GI_net,17,25,0.21993808049535613
46,gene_gene_on_CbG_name_mapped,11,9,0.2404040404040404
47,gene_gene_on_GcG_name_mapped,27,29,0.05683269476372921
48,GOMF,2,10,
